Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
351	0.0		Omega	390-510-630TBDR Triple Band	XF2056/25.7*36
352	0.0				
353	0.0				
354	0.0				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.0				
365	0.0				
366	0.0				
367	0.0				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.012				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.051				
392	0.129				
393	0.219				
394	0.319				
395	0.362				
396	0.466				
397	0.531				
398	0.567				
399	0.705				
400	0.74				
401	0.955				
402	1.068				
403	1.222				
404	1.431				
405	1.684				
406	1.86				
407	2.205				
408	2.539				
409	3.111				
410	3.63				
411	4.264				
412	4.845				
413	5.72				
414	6.859				
415	8.375				
416	9.78				
417	11.709				
418	13.597				
419	16.248				
420	19.277				
421	23.034				
422	26.125				
423	30.48				
424	33.818				
425	37.059				
426	39.1				
427	40.539				
428	41.655				
429	43.157				
430	44.778				
431	46.489				
432	47.243				
433	47.051				
434	45.844				
435	44.368				
436	43.045				
437	42.944				
438	44.104				
439	46.605				
440	51.539				
441	57.923				
442	64.875				
443	69.522				
444	72.254				
445	71.66				
446	68.372				
447	64.502				
448	61.759				
449	61.142				
450	62.476				
451	64.984				
452	69.102				
453	72.881				
454	74.617				
455	74.791				
456	73.606				
457	71.181				
458	68.863				
459	67.62				
460	67.808				
461	69.593				
462	72.49				
463	77.612				
464	82.572				
465	85.506				
466	87.023				
467	86.94				
468	85.407				
469	82.936				
470	80.955				
471	79.904				
472	79.611				
473	80.72				
474	82.647				
475	85.003				
476	86.272				
477	86.755				
478	86.073				
479	84.075				
480	80.858				
481	77.915				
482	75.173				
483	73.311				
484	72.066				
485	72.027				
486	73.262				
487	75.458				
488	76.935				
489	78.182				
490	78.215				
491	75.663				
492	70.719				
