Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
350	0.923		Omega	660DRLP Dichroic	XF2087/25.7*36
351	1.177				
352	1.711				
353	2.126				
354	2.261				
355	2.243				
356	2.421				
357	2.391				
358	2.099				
359	2.865				
360	4.216				
361	3.673				
362	2.328				
363	1.553				
364	1.181				
365	1.548				
366	4.102				
367	7.963				
368	8.175				
369	9.958				
370	19.137				
371	28.222				
372	26.507				
373	20.653				
374	21.197				
375	30.118				
376	32.133				
377	22.546				
378	20.013				
379	29.804				
380	35.249				
381	25.914				
382	16.962				
383	16.292				
384	21.646				
385	31.137				
386	40.85				
387	47.403				
388	52.192				
389	58.773				
390	65.047				
391	62.939				
392	53.375				
393	47.013				
394	49.48				
395	52.915				
396	47.449				
397	37.352				
398	33.899				
399	37.895				
400	38.99				
401	31.168				
402	24.013				
403	25.333				
404	32.273				
405	28.241				
406	13.906				
407	4.081				
408	1.524				
409	0.924				
410	0.72				
411	0.643				
412	0.63				
413	0.677				
414	0.818				
415	1.191				
416	2.368				
417	6.934				
418	18.071				
419	28.783				
420	28.879				
421	23.294				
422	25.028				
423	37.767				
424	56.681				
425	70.338				
426	73.026				
427	71.688				
428	71.496				
429	69.79				
430	67.339				
431	69.855				
432	77.795				
433	80.939				
434	71.702				
435	55.8				
436	45.327				
437	46.313				
438	58.169				
439	71.45				
440	72.489				
441	58.52				
442	41.526				
443	31.148				
444	28.624				
445	32.056				
446	40.82				
447	54.004				
448	68.929				
449	81.756				
450	89.545				
451	92.286				
452	91.534				
453	89.559				
454	88.362				
455	88.806				
456	89.174				
457	86.027				
458	77.916				
459	66.55				
460	56.7				
461	52.447				
462	55.345				
463	63.681				
464	72.151				
465	74.236				
466	67.223				
467	55.248				
468	45.973				
469	44.072				
470	48.037				
471	56.062				
472	63.027				
473	62.162				
474	54.055				
475	41.858				
476	32.131				
477	30.42				
478	36.941				
479	42.307				
480	36.664				
481	21.948				
482	8.127				
483	2.578				
484	1.088				
485	0.601				
486	0.384				
487	0.275				
488	0.215				
489	0.181				
490	0.164				
491	0.156				
492	0.157				
493	0.167				
494	0.186				
495	0.217				
496	0.266				
497	0.34				
498	0.454				
499	0.633				
500	0.933				
501	1.433				
502	2.357				
503	4.19				
504	7.854				
505	15.249				
506	27.121				
507	40.548				
508	51.202				
509	57.167				
510	59.084				
511	58.878				
512	58.886				
513	60.484				
514	64.665				
515	70.937				
516	77.577				
517	82.814				
518	85.814				
519	86.711				
520	86.786				
521	87.428				
522	89.276				
523	91.735				
524	93.717				
525	94.311				
526	93.461				
527	91.942				
528	90.891				
529	90.974				
530	92.234				
531	93.816				
532	94.517				
533	93.428				
534	90.442				
535	86.208				
536	82.243				
537	79.597				
538	79.296				
539	81.331				
540	85.144				
541	89.301				
542	91.873				
543	91.477				
544	87.724				
545	81.505				
546	74.521				
547	68.543				
548	64.489				
549	62.793				
550	63.279				
551	65.466				
552	68.464				
553	71.241				
554	72.932				
555	73.023				
556	71.66				
557	69.505				
558	67.414				
559	66.282				
560	66.609				
561	68.651				
562	72.246				
563	76.633				
564	81.149				
565	84.815				
566	87.194				
567	88.31				
568	88.619				
569	88.923				
570	89.64				
571	90.728				
572	91.466				
573	90.864				
574	88.318				
575	83.52				
576	77.051				
577	69.965				
578	63.329				
579	58.241				
580	55.293				
581	55.134				
582	57.956				
583	63.303				
584	69.891				
585	76.124				
586	80.35				
587	80.824				
588	77.054				
589	69.796				
590	61.053				
591	52.768				
592	46.915				
593	44.354				
594	44.311				
595	46.113				
596	50.116				
597	56.789				
598	64.299				
599	69.503				
600	69.485				
601	63.591				
602	52.999				
603	41.043				
604	31.026				
605	24.201				
606	20.412				
607	18.976				
608	19.996				
609	25.193				
610	35.921				
611	45.744				
612	47.399				
613	41.488				
614	29.642				
615	15.456				
616	6.405				
617	2.916				
618	1.571				
619	0.963				
620	0.643				
621	0.456				
622	0.341				
623	0.266				
624	0.214				
625	0.179				
626	0.153				
627	0.134				
628	0.12				
629	0.11				
630	0.102				
631	0.098				
632	0.095				
633	0.093				
634	0.093				
635	0.095				
636	0.098				
637	0.102				
638	0.109				
639	0.118				
640	0.129				
641	0.143				
642	0.161				
643	0.185				
644	0.214				
645	0.253				
646	0.303				
647	0.369				
648	0.457				
649	0.572				
650	0.733				
651	0.955				
652	1.268				
653	1.718				
654	2.374				
655	3.346				
656	4.826				
657	7.013				
658	10.341				
659	15.224				
660	21.884				
661	30.4				
662	40.427				
663	50.897				
664	61.112				
665	69.943				
666	77.043				
667	82.086				
668	85.316				
669	87.409				
670	88.987				
671	90.448				
672	92.002				
673	93.472				
674	94.729				
675	95.596				
676	96.014				
677	96.091				
678	95.998				
679	95.841				
680	95.718				
681	95.667				
682	95.721				
683	95.918				
684	96.184				
685	96.496				
686	96.765				
687	96.989				
688	97.077				
689	97.013				
690	96.89				
691	96.614				
692	96.276				
693	95.902				
694	95.576				
695	95.314				
696	95.138				
697	95.05				
698	95.107				
699	95.259				
700	95.504				
701	95.744				
702	96.085				
703	96.358				
704	96.591				
705	96.758				
706	96.85				
707	96.9				
708	96.872				
709	96.774				
710	96.636				
711	96.498				
712	96.359				
713	96.244				
714	96.119				
715	96.053				
716	96.032				
717	96.053				
718	96.083				
719	96.167				
720	96.267				
721	96.383				
722	96.481				
723	96.62				
724	96.716				
725	96.749				
726	96.816				
727	96.782				
728	96.782				
729	96.76				
730	96.731				
731	96.681				
732	96.578				
733	96.527				
734	96.478				
735	96.4				
736	96.38				
737	96.328				
738	96.318				
739	96.24				
740	96.204				
741	96.188				
742	96.207				
743	96.239				
744	96.224				
745	96.3				
746	96.285				
747	96.329				
748	96.394				
749	96.486				
750	96.485				
751	96.485				
752	96.443				
753	96.258				
754	95.988				
755	95.528				
756	94.846				
757	93.946				
758	92.818				
759	91.472				
760	89.879				
761	88.043				
762	86.202				
763	84.179				
764	82.188				
765	80.195				
766	78.284				
767	76.53				
768	74.968				
769	73.644				
770	72.627				
771	71.88				
772	71.477				
773	71.419				
774	71.693				
775	72.268				
776	73.179				
777	74.391				
778	75.853				
779	77.495				
780	79.333				
781	81.244				
782	83.124				
783	84.92				
784	86.652				
785	88.128				
786	89.271				
787	90.179				
788	90.691				
789	90.969				
790	90.977				
791	90.853				
792	90.588				
793	90.338				
794	90.061				
795	89.904				
796	89.929				
797	90.1				
798	90.401				
799	90.839				
800	91.419				
