Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.001		Omega	535DF35 Bandpass	XF3007/25
301	0.001				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.0				
307	0.0				
308	0.002				
309	0.009				
310	0.017				
311	0.015				
312	0.009				
313	0.005				
314	0.001				
315	0.001				
316	0.0				
317	0.0				
318	0.0				
319	0.0				
320	0.0				
321	0.0				
322	0.0				
323	0.0				
324	0.0				
325	0.001				
326	0.012				
327	0.009				
328	0.0				
329	0.0				
330	0.0				
331	0.0				
332	0.002				
333	0.006				
334	0.008				
335	0.009				
336	0.006				
337	0.0				
338	0.0				
339	0.006				
340	0.002				
341	0.006				
342	0.01				
343	0.002				
344	0.0				
345	0.0				
346	0.0				
347	0.005				
348	0.015				
349	0.016				
350	0.014				
351	0.009				
352	0.0				
353	0.002				
354	0.005				
355	0.0				
356	0.0				
357	0.0				
358	0.0				
359	0.004				
360	0.004				
361	0.006				
362	0.008				
363	0.003				
364	0.002				
365	0.005				
366	0.007				
367	0.003				
368	0.0				
369	0.0				
370	0.0				
371	0.0				
372	0.0				
373	0.0				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.0				
381	0.0				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.0				
392	0.0				
393	0.0				
394	0.0				
395	0.0				
396	0.0				
397	0.0				
398	0.0				
399	0.0				
400	0.0				
401	0.0				
402	0.0				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.0				
412	0.0				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.0				
423	0.0				
424	0.0				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.0				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.0				
438	0.0				
439	0.0				
440	0.0				
441	0.0				
442	0.0				
443	0.0				
444	0.0				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.0				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.0				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.0				
463	0.0				
464	0.0				
465	0.0				
466	0.0				
467	0.0				
468	0.0				
469	0.0				
470	0.0				
471	0.0				
472	0.0				
473	0.0				
474	0.0				
475	0.0				
476	0.0				
477	0.0				
478	0.0				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.0				
484	0.0				
485	0.0				
486	0.0				
487	0.0				
488	0.0				
489	0.0				
490	0.0				
491	0.0				
492	0.0				
493	0.0				
494	0.0				
495	0.0				
496	0.0				
497	0.0				
498	0.0				
499	0.0				
500	0.0				
501	0.0				
502	0.0				
503	0.0				
504	0.0				
505	0.0				
506	0.0				
507	0.0				
508	0.001				
509	0.002				
510	0.005				
511	0.009				
512	0.017				
513	0.031				
514	0.057				
515	0.11				
516	0.25				
517	0.62				
518	1.79				
519	5.83				
520	17.8				
521	41.0				
522	66.9				
523	82.5				
524	86.6				
525	85.4				
526	82.8				
527	80.5				
528	79.7				
529	80.7				
530	83.1				
531	85.9				
532	88.4				
533	90.1				
534	91.0				
535	91.3				
536	91.4				
537	91.5				
538	91.6				
539	91.6				
540	91.6				
541	91.5				
542	91.2				
543	90.7				
544	89.8				
545	88.7				
546	87.6				
547	87.0				
548	87.0				
549	87.6				
550	88.3				
551	88.7				
552	88.2				
553	85.0				
554	75.0				
555	55.7				
556	32.6				
557	15.1				
558	6.07				
559	2.42				
560	1.03				
561	0.47				
562	0.23				
563	0.12				
564	0.064				
565	0.036				
566	0.021				
567	0.012				
568	0.007				
569	0.004				
570	0.002				
571	0.001				
572	0.0				
573	0.0				
574	0.0				
575	0.0				
576	0.0				
577	0.0				
578	0.0				
579	0.0				
580	0.0				
581	0.0				
582	0.0				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.0				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.0				
600	0.0				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.0				
612	0.0				
613	0.0				
614	0.0				
615	0.0				
616	0.0				
617	0.0				
618	0.0				
619	0.0				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.0				
625	0.0				
626	0.0				
627	0.0				
628	0.0				
629	0.0				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.0				
637	0.0				
638	0.0				
639	0.0				
640	0.0				
641	0.0				
642	0.0				
643	0.0				
644	0.0				
645	0.0				
646	0.0				
647	0.0				
648	0.0				
649	0.0				
650	0.0				
651	0.0				
652	0.0				
653	0.0				
654	0.0				
655	0.0				
656	0.0				
657	0.0				
658	0.0				
659	0.0				
660	0.0				
661	0.0				
662	0.0				
663	0.0				
664	0.0				
665	0.0				
666	0.0				
667	0.0				
668	0.0				
669	0.0				
670	0.0				
671	0.0				
672	0.0				
673	0.001				
674	0.001				
675	0.002				
676	0.003				
677	0.005				
678	0.007				
679	0.012				
680	0.021				
681	0.037				
682	0.075				
683	0.22				
684	2.44				
685	9.14				
686	12.4				
687	6.48				
688	1.14				
689	0.32				
690	0.2				
691	0.16				
692	0.13				
693	0.12				
694	0.12				
695	0.12				
696	0.13				
697	0.15				
698	0.16				
699	0.19				
700	0.23				
701	0.29				
702	0.38				
703	0.53				
704	0.77				
705	1.22				
706	2.22				
707	5.28				
708	16.9				
709	37.0				
710	42.8				
711	26.1				
712	10.0				
713	4.49				
714	2.74				
715	1.96				
716	1.54				
717	1.29				
718	1.14				
719	1.05				
720	0.99				
721	0.96				
722	0.96				
723	0.98				
724	1.02				
725	1.08				
726	1.17				
727	1.29				
728	1.44				
729	1.65				
730	1.93				
731	2.3				
732	2.81				
733	3.5				
734	4.5				
735	5.97				
736	8.2				
737	11.7				
738	17.3				
739	26.1				
740	38.6				
741	51.8				
742	59.5				
743	57.5				
744	48.3				
745	38.0				
746	29.7				
747	24.0				
748	20.1				
749	17.5				
750	15.7				
751	14.6				
752	13.9				
753	13.6				
754	13.6				
755	13.8				
756	14.4				
757	15.3				
758	16.4				
759	18.0				
760	20.1				
761	22.7				
762	26.1				
763	30.2				
764	35.3				
765	41.5				
766	48.4				
767	55.9				
768	63.2				
769	69.2				
770	72.9				
771	73.9				
772	72.3				
773	68.8				
774	64.3				
775	59.5				
776	55.0				
777	51.2				
778	48.0				
779	45.4				
780	43.6				
781	42.4				
782	41.8				
783	41.6				
784	42.0				
785	42.9				
786	44.3				
787	46.3				
788	48.9				
789	52.0				
790	55.7				
791	59.9				
792	64.5				
793	69.4				
794	74.1				
795	78.1				
796	81.2				
797	82.8				
798	82.7				
799	80.8				
800	77.5				
801	73.3				
802	68.4				
803	63.5				
804	58.7				
805	54.2				
806	50.1				
807	46.7				
808	43.7				
809	41.2				
810	39.2				
811	37.5				
812	36.3				
813	35.4				
814	34.8				
815	34.6				
816	34.6				
817	35.0				
818	35.7				
819	36.6				
820	37.9				
821	39.6				
822	41.7				
823	44.3				
824	47.2				
825	50.6				
826	54.4				
827	58.4				
828	62.5				
829	66.6				
830	70.3				
831	73.1				
832	74.6				
833	74.7				
834	73.2				
835	70.0				
836	65.6				
837	60.7				
838	55.6				
839	50.4				
840	45.5				
841	41.0				
842	37.1				
843	33.7				
844	30.8				
845	28.2				
846	26.1				
847	24.2				
848	22.6				
849	21.4				
850	20.7				
