Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.0		Omega	528-633DBEM Dual Band	XF3057/22
301	0.003				
302	0.0				
303	0.0				
304	0.0				
305	0.0				
306	0.002				
307	0.0				
308	0.0				
309	0.0				
310	0.002				
311	0.006				
312	0.001				
313	0.005				
314	0.002				
315	0.0				
316	0.004				
317	0.0				
318	0.0				
319	0.001				
320	0.0				
321	0.0				
322	0.003				
323	0.0				
324	0.0				
325	0.0				
326	0.003				
327	0.0				
328	0.002				
329	0.001				
330	0.0				
331	0.0				
332	0.001				
333	0.0				
334	0.0				
335	0.0				
336	0.0				
337	0.002				
338	0.0				
339	0.003				
340	0.002				
341	0.0				
342	0.0				
343	0.0				
344	0.006				
345	0.001				
346	0.0				
347	0.0				
348	0.001				
349	0.0				
350	0.004				
351	0.0				
352	0.0				
353	0.0				
354	0.002				
355	0.0				
356	0.0				
357	0.002				
358	0.0				
359	0.0				
360	0.0				
361	0.0				
362	0.0				
363	0.0				
364	0.002				
365	0.001				
366	0.0				
367	0.0				
368	0.0				
369	0.001				
370	0.002				
371	0.0				
372	0.0				
373	0.003				
374	0.0				
375	0.0				
376	0.0				
377	0.0				
378	0.0				
379	0.0				
380	0.001				
381	0.001				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.0				
388	0.0				
389	0.0				
390	0.0				
391	0.001				
392	0.001				
393	0.003				
394	0.003				
395	0.0				
396	0.002				
397	0.0				
398	0.0				
399	0.001				
400	0.003				
401	0.002				
402	0.002				
403	0.0				
404	0.0				
405	0.0				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.002				
411	0.001				
412	0.001				
413	0.002				
414	0.0				
415	0.003				
416	0.002				
417	0.0				
418	0.0				
419	0.0				
420	0.0				
421	0.0				
422	0.005				
423	0.0				
424	0.0				
425	0.002				
426	0.003				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.001				
432	0.0				
433	0.0				
434	0.0				
435	0.004				
436	0.0				
437	0.001				
438	0.0				
439	0.0				
440	0.0				
441	0.006				
442	0.0				
443	0.002				
444	0.005				
445	0.0				
446	0.0				
447	0.0				
448	0.0				
449	0.005				
450	0.0				
451	0.0				
452	0.0				
453	0.001				
454	0.0				
