Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.01		Omega	535QM50 Bandpass	XF3411/25
301	0.0				
302	0.0				
303	0.0				
304	0.004				
305	0.0				
306	0.0				
307	0.005				
308	0.0				
309	0.0				
310	0.005				
311	0.0				
312	0.0				
313	0.015				
314	0.0				
315	0.0				
316	0.0				
317	0.0				
318	0.0				
319	0.026				
320	0.011				
321	0.008				
322	0.0				
323	0.0				
324	0.0				
325	0.041				
326	0.0				
327	0.0				
328	0.0				
329	0.083				
330	0.0				
331	0.0				
332	0.0				
333	0.042				
334	0.016				
335	0.03				
336	0.0				
337	0.025				
338	0.0				
339	0.003				
340	0.0				
341	0.013				
342	0.0				
343	0.0				
344	0.0				
345	0.052				
346	0.0				
347	0.095				
348	0.0				
349	0.072				
350	0.0				
351	0.069				
352	0.0				
353	0.0				
354	0.0				
355	0.112				
356	0.0				
357	0.064				
358	0.0				
359	0.0				
360	0.032				
361	0.0				
362	0.0				
363	0.017				
364	0.003				
365	0.027				
366	0.0				
367	0.0				
368	0.004				
369	0.0				
370	0.019				
371	0.088				
372	0.041				
373	0.056				
374	0.0				
375	0.0				
376	0.014				
377	0.0				
378	0.065				
379	0.0				
380	0.0				
381	0.025				
382	0.0				
383	0.0				
384	0.0				
385	0.0				
386	0.0				
387	0.025				
388	0.0				
389	0.0				
390	0.031				
391	0.0				
392	0.0				
393	0.0				
394	0.021				
395	0.005				
396	0.0				
397	0.029				
398	0.013				
399	0.026				
400	0.0				
401	0.023				
402	0.036				
403	0.01				
404	0.0				
405	0.003				
406	0.0				
407	0.0				
408	0.0				
409	0.0				
410	0.0				
411	0.049				
412	0.018				
413	0.0				
414	0.0				
415	0.0				
416	0.0				
417	0.013				
418	0.0				
419	0.023				
420	0.014				
421	0.0				
422	0.0				
423	0.0				
424	0.026				
425	0.0				
426	0.0				
427	0.0				
428	0.0				
429	0.0				
430	0.0				
431	0.011				
432	0.0				
433	0.0				
434	0.0				
435	0.0				
436	0.0				
437	0.019				
438	0.002				
439	0.0				
440	0.004				
441	0.012				
442	0.0				
443	0.013				
444	0.0				
445	0.012				
446	0.005				
447	0.0				
448	0.004				
449	0.004				
450	0.0				
451	0.0				
452	0.0				
453	0.0				
454	0.033				
455	0.0				
456	0.0				
457	0.0				
458	0.0				
459	0.0				
460	0.0				
461	0.0				
462	0.027				
463	0.0				
464	0.012				
465	0.0				
466	0.022				
467	0.0				
468	0.0				
469	0.0				
470	0.026				
471	0.0				
472	0.0				
473	0.018				
474	0.0				
475	0.02				
476	0.031				
477	0.0				
478	0.003				
479	0.0				
480	0.0				
481	0.0				
482	0.0				
483	0.034				
484	0.023				
485	0.0				
486	0.0				
487	0.017				
488	0.042				
489	0.0				
490	0.012				
491	0.02				
492	0.029				
493	0.0				
494	0.0				
495	0.056				
496	0.0				
497	0.0				
498	0.009				
499	0.0				
500	0.053				
501	0.059				
502	0.087				
503	0.025				
504	0.125				
505	0.102				
506	0.126				
507	0.128				
508	0.403				
509	1.163				
510	14.577				
511	54.59				
512	83.988				
513	91.505				
514	92.804				
515	94.016				
516	94.713				
517	94.749				
518	94.89				
519	94.67				
520	94.61				
521	94.663				
522	94.542				
523	94.426				
524	94.382				
525	94.769				
526	95.339				
527	95.763				
528	95.51				
529	95.257				
530	95.541				
531	95.85				
532	95.856				
533	94.905				
534	94.746				
535	94.817				
536	95.455				
537	96.152				
538	96.228				
539	96.151				
540	96.039				
541	96.419				
542	96.727				
543	96.222				
544	95.646				
545	94.656				
546	94.703				
547	94.84				
548	95.54				
549	95.981				
550	96.018				
551	96.218				
552	96.249				
553	96.392				
554	96.45				
555	96.328				
556	95.835				
557	94.746				
558	92.132				
559	84.455				
560	63.526				
561	27.602				
562	10.942				
563	4.343				
564	1.883				
565	0.827				
566	0.49				
567	0.232				
568	0.222				
569	0.175				
570	0.05				
571	0.068				
572	0.0				
573	0.015				
574	0.01				
575	0.0				
576	0.028				
577	0.064				
578	0.049				
579	0.0				
580	0.022				
581	0.0				
582	0.121				
583	0.0				
584	0.0				
585	0.0				
586	0.0				
587	0.0				
588	0.0				
589	0.013				
590	0.0				
591	0.0				
592	0.0				
593	0.0				
594	0.0				
595	0.0				
596	0.0				
597	0.0				
598	0.0				
599	0.023				
600	0.0				
601	0.0				
602	0.0				
603	0.0				
604	0.0				
605	0.0				
606	0.0				
607	0.0				
608	0.0				
609	0.0				
610	0.0				
611	0.043				
612	0.007				
613	0.0				
614	0.0				
615	0.078				
616	0.0				
617	0.0				
618	0.0				
619	0.016				
620	0.0				
621	0.0				
622	0.0				
623	0.0				
624	0.036				
625	0.015				
626	0.0				
627	0.05				
628	0.042				
629	0.009				
630	0.0				
631	0.0				
632	0.0				
633	0.0				
634	0.0				
635	0.0				
636	0.094				
637	0.063				
638	0.0				
639	0.0				
640	0.016				
641	0.0				
642	0.029				
643	0.0				
644	0.049				
645	0.0				
646	0.076				
647	0.0				
