Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
300	0.004		Omega	SDSS r' Bandpass	XSDSS/R/50R
301	0.003				
302	0.005				
303	0.003				
304	0.003				
305	0.004				
306	0.003				
307	0.003				
308	0.003				
309	0.003				
310	0.002				
311	0.003				
312	0.004				
313	0.002				
314	0.003				
315	0.002				
316	0.003				
317	0.003				
318	0.002				
319	0.004				
320	0.003				
321	0.003				
322	0.004				
323	0.002				
324	0.005				
325	0.003				
326	0.003				
327	0.003				
328	0.003				
329	0.003				
330	0.003				
331	0.002				
332	0.003				
333	0.003				
334	0.003				
335	0.004				
336	0.004				
337	0.003				
338	0.003				
339	0.003				
340	0.004				
341	0.003				
342	0.004				
343	0.004				
344	0.003				
345	0.003				
346	0.003				
347	0.004				
348	0.005				
349	0.001				
350	0.004				
351	0.001				
352	0.003				
353	0.002				
354	0.004				
355	0.001				
356	0.003				
357	0.001				
358	0.004				
359	0.002				
360	0.003				
361	0.001				
362	0.004				
363	0.001				
364	0.003				
365	0.002				
366	0.003				
367	0.002				
368	0.004				
369	0.002				
370	0.003				
371	0.003				
372	0.004				
373	0.003				
374	0.005				
375	0.003				
376	0.005				
377	0.003				
378	0.003				
379	0.003				
380	0.005				
381	0.003				
382	0.004				
383	0.002				
384	0.003				
385	0.004				
386	0.002				
387	0.003				
388	0.003				
389	0.002				
390	0.004				
391	0.004				
392	0.004				
393	0.003				
394	0.005				
395	0.004				
396	0.003				
397	0.003				
398	0.003				
399	0.002				
400	0.003				
401	0.003				
402	0.003				
403	0.004				
404	0.005				
405	0.002				
406	0.002				
407	0.005				
408	0.004				
409	0.003				
410	0.004				
411	0.005				
412	0.007				
413	0.004				
414	0.003				
415	0.004				
416	0.005				
417	0.003				
418	0.004				
419	0.004				
420	0.004				
421	0.004				
422	0.004				
423	0.004				
424	0.002				
425	0.004				
426	0.004				
427	0.005				
428	0.003				
429	0.003				
430	0.004				
431	0.006				
432	0.005				
433	0.003				
434	0.004				
435	0.004				
436	0.005				
437	0.004				
438	0.004				
439	0.002				
440	0.004				
441	0.004				
442	0.004				
443	0.003				
444	0.003				
445	0.003				
446	0.003				
447	0.004				
448	0.004				
449	0.004				
450	0.004				
451	0.004				
452	0.003				
453	0.003				
454	0.003				
455	0.003				
456	0.003				
457	0.003				
458	0.003				
459	0.004				
460	0.004				
461	0.003				
462	0.003				
463	0.002				
464	0.004				
465	0.003				
466	0.004				
467	0.004				
468	0.005				
469	0.004				
470	0.004				
471	0.004				
472	0.003				
473	0.003				
474	0.004				
475	0.005				
476	0.004				
477	0.006				
478	0.004				
479	0.005				
480	0.005				
481	0.003				
482	0.003				
483	0.004				
484	0.004				
485	0.004				
486	0.004				
487	0.004				
488	0.004				
489	0.003				
490	0.003				
491	0.004				
492	0.003				
493	0.003				
494	0.004				
495	0.003				
496	0.004				
497	0.003				
498	0.003				
499	0.004				
500	0.005				
501	0.003				
502	0.004				
503	0.004				
504	0.003				
505	0.003				
506	0.004				
507	0.002				
508	0.003				
509	0.004				
510	0.004				
511	0.004				
512	0.003				
513	0.003				
514	0.004				
515	0.003				
516	0.003				
517	0.002				
518	0.004				
519	0.004				
520	0.004				
521	0.004				
522	0.002				
523	0.005				
524	0.004				
525	0.005				
526	0.005				
527	0.005				
528	0.004				
529	0.004				
530	0.005				
531	0.005				
532	0.006				
533	0.01				
534	0.016				
535	0.025				
536	0.047				
537	0.091				
538	0.183				
539	0.388				
540	0.858				
541	1.95				
542	4.463				
543	9.998				
544	20.432				
545	35.222				
546	49.299				
547	58.065				
548	62.163				
549	63.831				
550	64.451				
551	64.596				
552	64.398				
553	63.91				
554	63.297				
555	62.7				
556	62.32				
557	62.257				
558	62.602				
559	63.289				
560	64.233				
561	65.177				
562	65.986				
563	66.448				
564	66.512				
565	66.232				
566	65.679				
567	65.19				
568	64.85				
569	64.552				
570	64.658				
571	64.964				
572	65.301				
573	65.559				
574	65.635				
575	65.422				
576	65.005				
577	64.418				
578	63.876				
579	63.519				
580	63.454				
581	63.754				
582	64.394				
583	65.334				
584	66.402				
585	67.475				
586	68.312				
587	68.814				
588	68.967				
589	68.72				
590	68.256				
591	67.64				
592	67.079				
593	66.616				
594	66.363				
595	66.23				
596	66.258				
597	66.323				
598	66.36				
599	66.319				
600	66.188				
601	65.958				
