Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
235	0.249	#00E8FF	Tangsinuo	QB21 2mm AR	QB21
240	0.249				
245	0.249				
250	0.249				
255	0.249				
260	0.249				
265	0.249				
270	0.227				
275	0.187				
280	0.146				
285	0.106				
290	0.149				
295	0.215				
300	0.28				
305	0.555				
310	2.961				
315	6.731				
320	15.241				
325	24.924				
330	35.452				
335	45.499				
340	53.883				
345	61.045				
350	67.361				
355	72.134				
360	76.116				
365	79.876				
370	82.178				
375	84.364				
380	86.387				
385	88.307				
390	90.092				
395	91.551				
400	93.009				
405	93.819				
410	94.516				
415	95.212				
420	95.909				
425	96.403				
430	96.752				
435	97.101				
440	97.449				
445	97.567				
450	97.644				
455	97.721				
460	97.788				
465	97.775				
470	97.762				
475	97.749				
480	97.717				
485	97.652				
490	97.588				
495	97.524				
500	97.409				
505	97.267				
510	97.125				
515	96.983				
520	96.601				
525	96.199				
530	95.797				
535	95.274				
540	94.222				
545	93.171				
550	92.119				
555	90.871				
560	89.576				
565	87.972				
570	85.917				
575	83.721				
580	81.451				
585	78.455				
590	75.213				
595	72.037				
600	69.274				
605	64.686				
610	61.206				
615	56.866				
620	52.357				
625	48.468				
630	44.068				
635	39.696				
640	35.993				
645	32.015				
650	28.32				
655	25.379				
660	22.081				
665	19.259				
670	16.729				
675	14.224				
680	12.249				
685	10.29				
690	8.551				
695	7.055				
700	5.984				
705	4.913				
710	3.922				
715	3.22				
720	2.518				
725	1.816				
730	1.344				
735	1.068				
740	0.792				
745	0.516				
750	0.43				
755	0.39				
760	0.35				
765	0.311				
770	0.294				
775	0.277				
780	0.26				
785	0.234				
790	0.193				
795	0.151				
800	0.11				
805	0.119				
810	0.16				
815	0.202				
820	0.243				
825	0.249				
830	0.249				
835	0.249				
840	0.249				
845	0.249				
850	0.249				
855	0.249				
860	0.249				
865	0.249				
870	0.249				
875	0.249				
880	0.234				
885	0.213				
890	0.192				
895	0.171				
900	0.15				
905	0.129				
910	0.107				
915	0.1				
920	0.142				
925	0.184				
930	0.227				
935	0.249				
940	0.249				
945	0.249				
950	0.249				
955	0.249				
960	0.249				
965	0.249				
970	0.248				
975	0.195				
980	0.142				
985	0.09				
990	0.051				
995	0.048				
1000	0.045				
1005	0.042				
1010	0.072				
1015	0.127				
1020	0.183				
1025	0.239				
1030	0.249				
1035	0.249				
1040	0.249				
1045	0.249				
1050	0.249				
1055	0.249				
1060	0.249				
1065	0.249				
1070	0.249				
1075	0.249				
1080	0.249				
1085	0.249				
1090	0.249				
