Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
335	14.667	#2b31a5	Tangsinuo	QB24	QB24
340	23.757				
345	30.79				
350	36.2				
355	40.924				
360	45.246				
365	49.208				
370	53.137				
375	56.552				
380	60.139				
385	63.551				
390	66.087				
395	67.779				
400	67.499				
405	67.166				
410	66.833				
415	66.5				
420	65.162				
425	63.014				
430	60.865				
435	58.717				
440	56.569				
445	54.421				
450	50.923				
455	47.514				
460	43.334				
465	38.924				
470	33.842				
475	28.706				
480	23.933				
485	18.99				
490	12.739				
495	7.131				
500	4.78				
505	3.39				
510	2.685				
515	1.981				
520	1.277				
525	1.217				
530	1.209				
535	1.201				
540	1.193				
545	1.184				
550	1.176				
555	1.168				
560	1.16				
565	1.152				
570	1.143				
575	1.135				
580	1.127				
585	1.119				
590	1.111				
595	1.102				
600	1.094				
605	1.086				
610	1.078				
615	1.07				
620	1.061				
625	1.053				
630	1.045				
635	1.037				
640	1.029				
645	1.02				
650	1.012				
655	1.004				
660	0.996				
665	0.987				
670	0.979				
675	0.971				
680	0.963				
685	0.955				
690	0.946				
695	0.938				
700	0.93				
705	0.922				
710	0.914				
715	0.905				
720	0.897				
725	0.889				
730	0.881				
735	0.873				
740	0.864				
745	0.856				
750	0.848				
755	0.84				
760	0.832				
765	0.823				
770	0.815				
775	0.807				
780	0.799				
785	0.79				
790	0.782				
795	0.774				
800	0.766				
805	0.758				
810	0.749				
815	0.741				
820	0.733				
825	0.765				
830	0.879				
835	0.993				
840	1.106				
845	1.22				
850	1.333				
855	1.437				
860	1.523				
865	1.609				
870	1.694				
875	1.787				
880	1.88				
885	1.945				
890	1.988				
895	2.031				
900	2.081				
905	2.205				
910	2.329				
915	2.453				
920	2.577				
925	2.701				
930	2.825				
935	2.949				
940	3.073				
945	3.197				
950	3.321				
955	3.431				
960	3.536				
965	3.641				
970	3.742				
975	3.835				
980	3.929				
985	4.022				
990	4.115				
995	4.17				
1000	4.212				
1005	4.254				
1010	4.296				
1015	4.338				
1020	4.38				
1025	4.445				
1030	4.558				
1035	4.67				
1040	4.783				
1045	4.895				
1050	5.184				
1055	5.491				
1060	5.798				
1065	6.225				
1070	6.994				
1075	7.763				
1080	8.532				
1085	9.301				
1090	10.07				
1095	10.997				
1100	12.304				
