Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#24FF00	Schott	BG47	BG47
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.32				
340	5.68				
350	21.13				
360	38.48				
370	51.39				
380	59.89				
390	65.24				
400	68.76				
410	71.08				
420	72.78				
430	74.15				
440	75.44				
450	76.96				
460	78.76				
470	80.83				
480	83.14				
490	85.40				
500	87.12				
510	88.26				
520	88.28				
530	86.64				
540	83.01				
550	77.13				
560	69.02				
570	58.95				
580	47.77				
590	36.40				
600	25.90				
610	17.04				
620	10.42				
630	5.92				
640	3.09				
650	1.49				
660	0.67				
670	0.28				
680	0.11				
690	0.04				
700	0.01				
710	0.00				
720	0.00				
730	0.00				
740	0.00				
750	0.00				
760	0.00				
770	0.00				
780	0.00				
790	0.00				
800	0.00				
810	0.00				
820	0.00				
830	0.00				
840	0.00				
850	0.00				
860	0.00				
870	0.00				
880	0.00				
890	0.00				
900	0.00				
910	0.00				
920	0.00				
930	0.00				
940	0.00				
950	0.00				
960	0.00				
970	0.00				
980	0.00				
990	0.00				
1000	0.00				
1010	0.00				
1020	0.00				
1030	0.00				
1040	0.00				
1050	0.00				
1060	0.00				
1070	0.00				
1080	0.00				
1090	0.00				
1100	0.00				
1110	0.00				
1120	0.00				
1130	0.00				
1140	0.00				
1150	0.00				
1160	0.00				
1170	0.00				
1180	0.00				
1190	0.00				
1200	0.00				
1250	0.01				
1300	0.05				
1350	0.19				
1400	0.61				
1450	1.55				
1500	3.44				
1550	6.54				
1600	10.94				
1650	16.61				
1700	23.23				
1750	30.47				
1800	38.18				
1850	45.05				
1900	51.63				
1950	57.54				
2000	62.82				
2050	67.44				
2100	71.36				
2150	74.74				
2200	77.24				
2250	79.42				
2300	81.43				
2350	83.22				
2400	84.67				
2450	85.69				
2500	86.07				
2550	86.03				
2600	85.67				
2650	85.74				
2700	85.13				
2750	83.03				
2800	71.27				
2850	55.38				
2900	45.28				
2950	38.77				
3000	33.88				
3050	29.70				
3100	25.98				
3150	22.75				
3200	20.10				
3250	18.07				
3300	16.59				
3350	15.56				
3400	14.96				
3450	14.78				
3500	15.00				
3550	15.67				
3600	16.62				
3650	17.80				
3700	18.75				
3750	18.47				
3800	16.40				
3850	13.27				
3900	10.27				
3950	7.05				
4000	4.04				
4050	2.22				
4100	1.20				
4150	0.68				
4200	0.45				
4250	0.39				
4300	0.47				
4350	0.71				
4400	0.94				
4450	1.07				
4500	1.21				
4550	1.46				
4600	1.90				
4650	2.61				
4700	3.54				
4750	4.49				
4800	5.25				
4850	5.87				
4900	6.50				
4950	7.11				
5000	7.46				
5050	7.27				
5100	6.38				
5150	4.87				
