Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#00FF7F	Schott	BG66HS	BG66HS
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.10				
340	3.69				
350	18.48				
360	37.50				
370	52.57				
380	62.34				
390	68.49				
400	72.76				
410	76.00				
420	78.60				
430	80.87				
440	82.92				
450	84.71				
460	86.26				
470	87.58				
480	88.64				
490	89.33				
500	89.50				
510	89.01				
520	87.52				
530	84.79				
540	80.39				
550	74.14				
560	66.03				
570	56.44				
580	46.00				
590	35.57				
600	25.98				
610	17.86				
620	11.54				
630	7.06				
640	4.06				
650	2.19				
660	1.14				
670	0.57				
680	0.27				
690	0.13				
700	0.06				
710	0.03				
720	0.01				
730	0.01				
740	0.00				
750	0.00				
760	0.00				
770	0.00				
780	0.00				
790	0.00				
800	0.00				
810	0.00				
820	0.00				
830	0.00				
840	0.00				
850	0.00				
860	0.00				
870	0.00				
880	0.00				
890	0.00				
900	0.00				
910	0.00				
920	0.00				
930	0.00				
940	0.00				
950	0.00				
960	0.00				
970	0.00				
980	0.00				
990	0.00				
1000	0.00				
1010	0.00				
1020	0.00				
1030	0.00				
1040	0.00				
1050	0.01				
1060	0.01				
1070	0.01				
1080	0.01				
1090	0.02				
1100	0.02				
1110	0.03				
1120	0.04				
1130	0.05				
1140	0.06				
1150	0.08				
1160	0.10				
1170	0.13				
1180	0.16				
1190	0.20				
1200	0.25				
1250	0.60				
1300	1.52				
1350	3.12				
1400	5.83				
1450	9.71				
1500	15.43				
1550	21.62				
1600	28.16				
1650	35.01				
1700	42.12				
1750	48.83				
1800	55.11				
1850	60.65				
1900	65.53				
1950	69.89				
2000	73.49				
2050	76.61				
2100	79.34				
2150	81.50				
2200	83.18				
2250	84.67				
2300	85.77				
2350	87.09				
2400	87.98				
2450	88.58				
2500	88.91				
2550	89.38				
2600	89.39				
2650	89.27				
2700	88.77				
2750	87.15				
2800	80.04				
2850	67.70				
2900	57.36				
2950	50.20				
3000	44.90				
3050	40.39				
3100	36.35				
3150	32.75				
3200	29.68				
3250	27.14				
3300	25.13				
3350	23.63				
3400	22.59				
3450	22.02				
3500	21.92				
3550	22.33				
3600	23.27				
3650	24.74				
3700	26.68				
3750	28.68				
3800	29.81				
3850	28.98				
3900	26.17				
3950	22.15				
4000	17.14				
4050	11.38				
4100	6.44				
4150	3.35				
4200	1.82				
4250	1.18				
4300	0.94				
4350	0.81				
4400	0.68				
4450	0.56				
4500	0.46				
4550	0.40				
4600	0.40				
4650	0.51				
4700	0.77				
4750	1.23				
4800	1.93				
4850	2.90				
4900	4.15				
4950	5.73				
5000	7.55				
5050	9.31				
5100	10.62				
5150	11.24				
