Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C0000	Schott	BG67HT	BG67HT
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.79				
350	7.62				
360	22.03				
370	36.34				
380	46.98				
390	54.25				
400	59.41				
410	63.80				
420	67.36				
430	70.56				
440	73.50				
450	76.20				
460	78.61				
470	80.74				
480	82.44				
490	83.70				
500	84.25				
510	83.89				
520	82.36				
530	79.14				
540	73.93				
550	66.55				
560	57.21				
570	46.41				
580	35.34				
590	24.93				
600	16.27				
610	9.76				
620	5.39				
630	2.73				
640	1.27				
650	0.56				
660	0.22				
670	0.09				
680	0.04				
690	0.01				
700	0.00				
710	0.00				
720	0.00				
730	0.00				
740	0.00				
750	0.00				
760	0.00				
770	0.00				
780	0.00				
790	0.00				
800	0.00				
810	0.00				
820	0.00				
830	0.00				
840	0.00				
850	0.00				
860	0.00				
870	0.00				
880	0.00				
890	0.00				
900	0.00				
910	0.00				
920	0.00				
930	0.00				
940	0.00				
950	0.00				
960	0.00				
970	0.00				
980	0.00				
990	0.00				
1000	0.00				
1010	0.00				
1020	0.00				
1030	0.00				
1040	0.00				
1050	0.00				
1060	0.00				
1070	0.00				
1080	0.00				
1090	0.00				
1100	0.00				
1110	0.00				
1120	0.00				
1130	0.00				
1140	0.00				
1150	0.01				
1160	0.01				
1170	0.01				
1180	0.01				
1190	0.02				
1200	0.02				
1250	0.10				
1300	0.32				
1350	0.87				
1400	2.08				
1450	4.23				
1500	7.56				
1550	12.17				
1600	17.04				
1650	23.47				
1700	30.36				
1750	37.37				
1800	44.23				
1850	50.43				
1900	56.27				
1950	61.67				
2000	66.27				
2050	70.40				
2100	73.89				
2150	77.11				
2200	79.64				
2250	81.85				
2300	83.79				
2350	85.41				
2400	86.94				
2450	88.08				
2500	89.05				
2550	89.73				
2600	90.27				
2650	90.67				
2700	90.79				
2750	90.34				
2800	87.41				
2850	82.10				
2900	77.07				
2950	73.03				
3000	69.61				
3050	66.43				
3100	63.31				
3150	60.32				
3200	57.84				
3250	55.64				
3300	53.61				
3350	51.95				
3400	50.65				
3450	49.91				
3500	49.61				
3550	49.98				
3600	50.74				
3650	51.96				
3700	53.42				
3750	54.37				
3800	53.16				
3850	48.66				
3900	42.07				
3950	35.09				
4000	26.76				
4050	16.89				
4100	9.41				
4150	5.30				
4200	2.92				
4250	1.97				
4300	1.77				
4350	1.77				
4400	1.57				
4450	1.26				
4500	0.97				
4550	0.81				
4600	0.78				
4650	0.98				
4700	1.50				
4750	2.38				
4800	3.56				
4850	4.99				
4900	6.78				
4950	9.06				
5000	11.70				
5050	14.30				
5100	16.38				
5150	17.50				
