Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#DAFF00	Schott	GG475	GG475
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.00				
350	0.00				
360	0.00				
370	0.00				
380	0.00				
390	0.00				
400	0.00				
410	0.00				
420	0.00				
430	0.00				
440	0.00				
450	0.00				
460	1.04				
470	26.06				
480	71.29				
490	90.22				
500	95.23				
510	96.91				
520	97.73				
530	98.19				
540	98.50				
550	98.66				
560	98.77				
570	98.82				
580	98.81				
590	98.76				
600	98.72				
610	98.64				
620	98.57				
630	98.50				
640	98.42				
650	98.33				
660	98.22				
670	98.11				
680	97.99				
690	97.83				
700	97.69				
710	97.54				
720	97.39				
730	97.22				
740	97.04				
750	96.86				
760	96.67				
770	96.49				
780	96.32				
790	96.16				
800	96.00				
810	95.83				
820	95.68				
830	95.54				
840	95.41				
850	95.29				
860	95.16				
870	95.04				
880	94.92				
890	94.82				
900	94.74				
910	94.68				
920	94.61				
930	94.54				
940	94.49				
950	94.43				
960	94.38				
970	94.34				
980	94.29				
990	94.24				
1000	94.20				
1010	94.16				
1020	94.12				
1030	94.09				
1040	94.07				
1050	94.06				
1060	94.05				
1070	94.04				
1080	94.04				
1090	94.04				
1100	94.04				
1110	94.04				
1120	94.04				
1130	94.05				
1140	94.06				
1150	94.07				
1160	94.08				
1170	94.09				
1180	94.11				
1190	94.13				
1200	94.15				
1250	94.30				
1300	94.53				
1350	94.81				
1400	94.81				
1450	95.46				
1500	95.96				
1550	96.33				
1600	96.60				
1650	96.79				
1700	96.83				
1750	96.71				
1800	96.55				
1850	96.38				
1900	96.18				
1950	95.98				
2000	95.75				
2050	95.51				
2100	95.16				
2150	94.62				
2200	93.36				
2250	92.90				
2300	93.35				
2350	93.20				
2400	92.59				
2450	91.64				
2500	91.09				
2550	91.20				
2600	90.54				
2650	89.39				
2700	81.90				
2750	36.72				
2800	24.87				
2850	25.50				
2900	26.58				
2950	27.13				
3000	27.19				
3050	26.57				
3100	25.06				
3150	23.33				
3200	21.58				
3250	19.89				
3300	18.27				
3350	16.80				
3400	15.58				
3450	14.67				
3500	14.19				
3550	14.02				
3600	14.03				
3650	14.18				
3700	14.58				
3750	15.30				
3800	16.17				
3850	16.74				
3900	16.85				
3950	16.56				
4000	15.82				
4050	14.73				
4100	13.26				
4150	11.47				
4200	9.52				
4250	7.14				
4300	5.08				
4350	3.28				
4400	1.89				
4450	0.88				
4500	0.33				
4550	0.12				
4600	0.03				
4650	0.01				
4700	0.00				
4750	0.00				
4800	0.00				
4850	0.00				
4900	0.00				
4950	0.00				
5000	0.00				
5050	0.00				
5100	0.00				
5150	0.00				
