Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C0000	Schott	NG3	NG3
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.00				
350	0.10				
360	0.59				
370	1.70				
380	2.20				
390	4.70				
400	6.69				
410	7.40				
420	8.11				
430	8.70				
440	9.50				
450	10.19				
460	11.10				
470	11.30				
480	11.00				
490	10.70				
500	10.50				
510	10.43				
520	10.50				
530	10.70				
540	10.90				
550	11.00				
560	10.95				
570	10.71				
580	10.50				
590	10.49				
600	10.70				
610	11.10				
620	11.57				
630	11.92				
640	12.22				
650	12.60				
660	13.19				
670	14.20				
680	15.60				
690	17.20				
700	18.71				
710	20.00				
720	20.94				
730	21.70				
740	22.30				
750	22.70				
760	23.10				
770	23.40				
780	23.60				
790	23.70				
800	23.80				
810	23.75				
820	23.70				
830	23.60				
840	23.50				
850	23.40				
860	23.10				
870	23.00				
880	22.70				
890	22.30				
900	22.10				
910	22.00				
920	21.80				
930	21.50				
940	21.30				
950	21.10				
960	20.90				
970	20.70				
980	20.50				
990	20.40				
1000	20.20				
1010	20.22				
1020	20.10				
1030	20.12				
1040	20.00				
1050	20.10				
1060	20.20				
1070	20.10				
1080	20.20				
1090	20.29				
1100	20.34				
1110	20.54				
1120	20.77				
1130	21.00				
1140	21.24				
1150	21.49				
1160	21.75				
1170	22.02				
1180	22.32				
1190	22.63				
1200	23.00				
1250	25.32				
1300	28.00				
1350	31.10				
1400	34.00				
1450	37.32				
1500	39.70				
1550	41.47				
1600	42.16				
1650	42.41				
1700	42.30				
1750	42.41				
1800	42.73				
1850	43.25				
1900	44.25				
1950	45.46				
2000	46.74				
2050	48.13				
2100	49.57				
2150	50.90				
2200	52.25				
2250	53.60				
2300	55.00				
2350	56.17				
2400	57.11				
2450	57.86				
2500	58.37				
2550	59.00				
2600	59.25				
2650	59.56				
2700	57.00				
2750	28.80				
2800	16.00				
2850	14.39				
2900	15.74				
2950	17.84				
3000	20.00				
3050	22.24				
3100	25.00				
3150	27.52				
3200	30.00				
3250	32.36				
3300	33.00				
3350	31.16				
3400	26.00				
3450	19.48				
3500	14.00				
3550	8.54				
3600	6.22				
3650	4.96				
3700	6.00				
3750	8.48				
3800	11.56				
3850	13.63				
3900	13.00				
3950	10.68				
4000	8.00				
4050	8.00				
4100	8.51				
4150	9.02				
4200	9.00				
4250	8.32				
4300	7.00				
4350	5.18				
4400	4.00				
4450	2.68				
4500	1.73				
4550	1.05				
4600	0.62				
4650	0.38				
4700	0.21				
4750	0.12				
4800	0.07				
4850	0.05				
4900	0.03				
4950	0.02				
5000	0.01				
5050	0.00				
5100	0.00				
5150	0.00				
