Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#FF6200	Schott	OG550	OG550
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.00				
350	0.00				
360	0.00				
370	0.00				
380	0.00				
390	0.00				
400	0.00				
410	0.00				
420	0.00				
430	0.00				
440	0.00				
450	0.00				
460	0.00				
470	0.00				
480	0.00				
490	0.00				
500	0.00				
510	0.00				
520	0.00				
530	0.28				
540	11.94				
550	50.76				
560	80.65				
570	92.17				
580	96.08				
590	97.55				
600	98.02				
610	98.26				
620	98.37				
630	98.36				
640	98.32				
650	98.26				
660	98.20				
670	98.13				
680	98.05				
690	97.96				
700	97.86				
710	97.76				
720	97.65				
730	97.53				
740	97.40				
750	97.26				
760	97.11				
770	96.97				
780	96.82				
790	96.68				
800	96.52				
810	96.33				
820	96.18				
830	96.07				
840	95.97				
850	95.89				
860	95.81				
870	95.73				
880	95.66				
890	95.59				
900	95.52				
910	95.46				
920	95.40				
930	95.34				
940	95.29				
950	95.23				
960	95.18				
970	95.13				
980	95.08				
990	95.03				
1000	94.99				
1010	94.96				
1020	94.93				
1030	94.92				
1040	94.90				
1050	94.89				
1060	94.88				
1070	94.87				
1080	94.87				
1090	94.86				
1100	94.86				
1110	94.86				
1120	94.87				
1130	94.88				
1140	94.89				
1150	94.90				
1160	94.91				
1170	94.92				
1180	94.93				
1190	94.95				
1200	94.96				
1250	95.07				
1300	95.25				
1350	95.47				
1400	95.53				
1450	96.02				
1500	96.44				
1550	96.76				
1600	97.03				
1650	97.22				
1700	97.27				
1750	97.17				
1800	97.00				
1850	96.78				
1900	96.55				
1950	96.32				
2000	96.09				
2050	95.85				
2100	95.58				
2150	95.19				
2200	93.85				
2250	93.35				
2300	93.56				
2350	93.53				
2400	93.16				
2450	92.54				
2500	91.86				
2550	91.12				
2600	90.15				
2650	88.64				
2700	83.30				
2750	45.59				
2800	35.45				
2850	35.08				
2900	36.30				
2950	36.84				
3000	35.70				
3050	33.58				
3100	30.65				
3150	27.25				
3200	24.59				
3250	22.44				
3300	20.55				
3350	18.81				
3400	17.49				
3450	16.60				
3500	15.99				
3550	15.46				
3600	15.33				
3650	15.58				
3700	16.01				
3750	16.53				
3800	17.25				
3850	18.06				
3900	18.78				
3950	19.05				
4000	18.42				
4050	17.06				
4100	15.07				
4150	13.05				
4200	10.98				
4250	8.79				
4300	6.22				
4350	3.94				
4400	2.26				
4450	1.12				
4500	0.47				
4550	0.18				
4600	0.07				
4650	0.03				
4700	0.01				
4750	0.00				
4800	0.00				
4850	0.00				
4900	0.00				
4950	0.00				
5000	0.00				
5050	0.00				
5100	0.00				
5150	0.00				
