Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C0000	Schott	RG9	RG9
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.00				
350	0.00				
360	0.00				
370	0.00				
380	0.00				
390	0.00				
400	0.00				
410	0.00				
420	0.00				
430	0.00				
440	0.00				
450	0.00				
460	0.00				
470	0.00				
480	0.00				
490	0.00				
500	0.00				
510	0.00				
520	0.00				
530	0.00				
540	0.00				
550	0.00				
560	0.00				
570	0.00				
580	0.00				
590	0.00				
600	0.00				
610	0.00				
620	0.00				
630	0.00				
640	0.00				
650	0.00				
660	0.00				
670	0.00				
680	0.00				
690	0.00				
700	0.64				
710	9.90				
720	35.71				
730	63.34				
740	80.95				
750	89.52				
760	93.06				
770	94.42				
780	94.67				
790	94.62				
800	94.42				
810	94.14				
820	93.77				
830	93.27				
840	92.71				
850	92.12				
860	91.48				
870	90.76				
880	89.89				
890	88.89				
900	87.76				
910	86.51				
920	85.05				
930	83.28				
940	81.37				
950	79.36				
960	76.97				
970	74.03				
980	70.52				
990	66.62				
1000	62.49				
1010	57.70				
1020	52.44				
1030	47.02				
1040	41.26				
1050	35.37				
1060	29.68				
1070	24.25				
1080	19.38				
1090	14.83				
1100	11.24				
1110	8.09				
1120	5.56				
1130	3.85				
1140	2.45				
1150	1.55				
1160	0.96				
1170	0.61				
1180	0.39				
1190	0.25				
1200	0.16				
1250	0.03				
1300	0.02				
1350	0.04				
1400	0.03				
1450	0.01				
1500	0.01				
1550	0.01				
1600	0.02				
1650	0.03				
1700	0.02				
1750	0.02				
1800	0.03				
1850	0.09				
1900	0.25				
1950	0.74				
2000	1.52				
2050	2.80				
2100	4.64				
2150	7.04				
2200	10.08				
2250	14.00				
2300	18.44				
2350	22.88				
2400	26.43				
2450	28.70				
2500	29.97				
2550	30.20				
2600	29.91				
2650	29.22				
2700	26.12				
2750	13.42				
2800	10.42				
2850	10.74				
2900	11.36				
2950	11.85				
3000	12.03				
3050	11.64				
3100	10.94				
3150	10.16				
3200	9.52				
3250	8.94				
3300	8.43				
3350	8.00				
3400	7.75				
3450	7.75				
3500	7.95				
3550	8.24				
3600	8.70				
3650	9.21				
3700	9.73				
3750	10.32				
3800	11.05				
3850	11.82				
3900	12.39				
3950	12.81				
4000	12.92				
4050	12.55				
4100	11.44				
4150	10.06				
4200	8.57				
4250	6.98				
4300	5.19				
4350	3.43				
4400	2.02				
4450	0.98				
4500	0.44				
4550	0.18				
4600	0.07				
4650	0.03				
4700	0.01				
4750	0.01				
4800	0.00				
4850	0.00				
4900	0.00				
4950	0.00				
5000	0.00				
5050	0.00				
5100	0.00				
5150	0.00				
