Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#FFD700	Schott	S7010N	S7010N
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.18				
350	10.27				
360	30.35				
370	59.79				
380	76.72				
390	84.31				
400	40.80				
410	75.67				
420	87.14				
430	96.25				
440	95.08				
450	96.40				
460	90.14				
470	82.66				
480	90.43				
490	93.11				
500	97.13				
510	99.47				
520	99.73				
530	99.27				
540	99.65				
550	99.49				
560	99.03				
570	99.52				
580	99.95				
590	99.99				
600	99.70				
610	99.74				
620	99.75				
630	99.77				
640	99.79				
650	99.81				
660	99.82				
670	99.79				
680	99.84				
690	99.88				
700	99.89				
710	99.88				
720	99.89				
730	99.90				
740	99.87				
750	99.92				
760	99.83				
770	99.90				
780	99.90				
790	99.90				
800	99.92				
810	99.95				
820	99.91				
830	99.93				
840	99.89				
850	99.86				
860	99.77				
870	99.93				
880	99.89				
890	99.76				
900	99.49				
910	98.79				
920	97.18				
930	94.50				
940	92.54				
950	93.09				
960	95.61				
970	97.77				
980	99.18				
990	99.72				
1000	99.73				
1010	99.41				
1020	98.72				
1030	97.46				
1040	94.40				
1050	85.72				
1060	67.92				
1070	51.65				
1080	56.08				
1090	70.86				
1100	79.04				
1110	84.78				
1120	91.23				
1130	96.13				
1140	97.99				
1150	97.97				
1160	97.01				
1170	94.96				
1180	90.61				
1190	81.17				
1200	65.13				
1250	63.93				
1300	87.95				
1350	55.60				
1400	61.97				
1450	53.78				
1500	62.09				
1550	65.24				
1600	81.07				
1650	92.25				
1700	99.25				
1750	99.08				
1800	97.75				
1850	95.83				
1900	94.54				
1950	94.25				
2000	95.18				
2050	97.39				
2100	97.96				
2150	98.50				
2200	98.73				
2250	98.45				
2300	98.11				
2350	97.04				
2400	94.75				
2450	91.06				
2500	86.76				
2550	83.34				
2600	82.67				
2650	83.99				
2700	85.16				
2750	76.06				
2800	65.75				
2850	64.06				
2900	63.65				
2950	63.45				
3000	63.21				
3050	62.65				
3100	61.67				
3150	60.36				
3200	58.84				
3250	57.18				
3300	55.42				
3350	53.52				
3400	51.26				
3450	49.11				
3500	47.20				
3550	46.17				
3600	45.64				
3650	44.92				
3700	43.75				
3750	41.76				
3800	40.38				
3850	40.62				
3900	41.02				
3950	40.48				
4000	38.74				
4050	36.85				
4100	35.64				
4150	35.16				
4200	34.36				
4250	32.54				
4300	29.94				
4350	26.55				
4400	21.88				
4450	16.25				
4500	10.64				
4550	5.99				
4600	2.84				
4650	1.26				
4700	0.55				
4750	0.24				
4800	0.11				
4850	0.05				
4900	0.03				
4950	0.02				
5000	0.01				
5050	0.01				
5100	0.01				
5150	0.00				
