Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C0000	Schott	S8008G	S8008G
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.00				
350	0.00				
360	0.00				
370	0.00				
380	0.00				
390	0.00				
400	0.00				
410	0.38				
420	1.00				
430	1.65				
440	3.05				
450	5.12				
460	8.23				
470	12.48				
480	17.94				
490	26.59				
500	34.49				
510	37.61				
520	37.01				
530	35.78				
540	53.35				
550	54.62				
560	47.95				
570	18.34				
580	8.30				
590	5.20				
600	11.22				
610	11.27				
620	9.32				
630	6.94				
640	5.89				
650	5.00				
660	4.46				
670	4.37				
680	4.45				
690	3.93				
700	4.33				
710	4.75				
720	5.21				
730	5.25				
740	2.43				
750	2.80				
760	5.40				
770	7.06				
780	7.48				
790	6.10				
800	3.84				
810	2.83				
820	7.12				
830	9.17				
840	10.38				
850	10.97				
860	10.57				
870	9.77				
880	9.30				
890	11.24				
900	13.01				
910	14.49				
920	15.60				
930	16.58				
940	17.57				
950	18.48				
960	19.48				
970	20.37				
980	21.49				
990	22.49				
1000	23.71				
1010	24.80				
1020	25.98				
1030	27.16				
1040	28.27				
1050	29.50				
1060	30.73				
1070	31.89				
1080	33.07				
1090	34.20				
1100	35.35				
1110	36.50				
1120	37.79				
1130	38.91				
1140	40.21				
1150	41.36				
1160	42.59				
1170	43.84				
1180	44.88				
1190	46.17				
1200	47.25				
1250	52.88				
1300	58.11				
1350	62.80				
1400	67.01				
1450	70.65				
1500	73.48				
1550	75.19				
1600	77.56				
1650	81.04				
1700	83.15				
1750	85.30				
1800	87.25				
1850	88.67				
1900	89.79				
1950	90.84				
2000	91.68				
2050	92.54				
2100	92.95				
2150	93.26				
2200	93.03				
2250	92.92				
2300	90.54				
2350	83.59				
2400	80.40				
2450	82.06				
2500	83.37				
2550	85.54				
2600	87.78				
2650	89.86				
2700	89.43				
2750	62.53				
2800	49.37				
2850	50.09				
2900	52.03				
2950	53.90				
3000	55.43				
3050	56.34				
3100	56.56				
3150	56.20				
3200	55.46				
3250	54.50				
3300	53.46				
3350	52.40				
3400	51.39				
3450	50.54				
3500	50.00				
3550	49.90				
3600	50.22				
3650	50.62				
3700	51.18				
3750	51.88				
3800	52.91				
3850	54.08				
3900	54.74				
3950	54.75				
4000	54.11				
4050	52.86				
4100	50.98				
4150	48.45				
4200	45.30				
4250	41.52				
4300	37.34				
4350	32.78				
4400	27.78				
4450	22.58				
4500	17.49				
4550	12.94				
4600	9.20				
4650	6.34				
4700	4.28				
4750	2.92				
4800	2.07				
4850	1.53				
4900	1.11				
4950	0.74				
5000	0.44				
5050	0.23				
5100	0.13				
5150	0.08				
