Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C0000	Schott	S8806A	S8806A
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	1.10				
310	12.00				
320	28.60				
330	11.21				
340	32.42				
350	0.14				
360	0.58				
370	90.07				
380	91.75				
390	95.71				
400	95.73				
410	96.81				
420	87.96				
430	30.86				
440	83.69				
450	72.47				
460	37.27				
470	32.03				
480	38.82				
490	79.84				
500	37.56				
510	2.71				
520	2.62				
530	1.11				
540	45.37				
550	80.47				
560	69.25				
570	0.16				
580	0.00				
590	0.00				
600	5.05				
610	73.55				
620	83.29				
630	76.00				
640	90.60				
650	97.29				
660	95.40				
670	67.50				
680	32.53				
690	53.35				
700	83.28				
710	89.75				
720	73.94				
730	7.19				
740	0.00				
750	0.00				
760	0.97				
770	27.23				
780	22.69				
790	0.51				
800	0.00				
810	0.00				
820	2.12				
830	26.62				
840	68.04				
850	70.69				
860	23.00				
870	7.56				
880	8.34				
890	20.96				
900	41.15				
910	63.32				
920	81.98				
930	93.42				
940	98.13				
950	99.30				
960	99.57				
970	99.57				
980	99.60				
990	99.54				
1000	99.52				
1010	99.53				
1020	99.56				
1030	99.63				
1040	99.61				
1050	99.50				
1060	99.28				
1070	99.04				
1080	99.04				
1090	99.31				
1100	99.56				
1110	99.73				
1120	99.82				
1130	99.88				
1140	99.94				
1150	99.97				
1160	99.97				
1170	99.92				
1180	99.87				
1190	99.71				
1200	99.43				
1250	99.18				
1300	99.64				
1350	98.02				
1400	94.41				
1450	92.26				
1500	84.75				
1550	72.67				
1600	67.82				
1650	72.30				
1700	77.61				
1750	86.24				
1800	93.76				
1850	94.09				
1900	92.54				
1950	92.99				
2000	94.00				
2050	94.30				
2100	93.52				
2150	91.13				
2200	85.62				
2250	69.26				
2300	35.11				
2350	13.47				
2400	7.91				
2450	7.44				
2500	9.29				
2550	11.74				
2600	26.38				
2650	35.48				
2700	43.76				
2750	40.29				
2800	27.29				
2850	23.29				
2900	23.64				
2950	25.00				
3000	26.30				
3050	27.13				
3100	27.35				
3150	26.85				
3200	25.12				
3250	21.05				
3300	14.10				
3350	6.71				
3400	2.10				
3450	0.44				
3500	0.06				
3550	5050.00				
3600	5100.00				
3650	5150.00				
3850	0.00				
3900	0.00				
3950	0.01				
4000	0.01				
4050	0.00				
4100	0.00				
4150	0.00				
4300	0.00				
4350	0.00				
4400	0.00				
4450	0.01				
4500	0.01				
4550	0.00				
4600	0.00				
4650	0.01				
4750	0.01				
4800	0.00				
4850	0.00				
4900	0.00				
4950	0.00				
5000	0.00				
