Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C0000	Schott	S8851	S8851
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.07				
300	6.40				
310	31.00				
320	53.53				
330	62.91				
340	66.30				
350	50.02				
360	6.05				
370	70.91				
380	78.02				
390	78.99				
400	35.51				
410	70.61				
420	25.36				
430	85.38				
440	78.31				
450	0.05				
460	3.82				
470	43.09				
480	57.07				
490	60.53				
500	92.23				
510	82.78				
520	81.79				
530	57.10				
540	11.34				
550	60.50				
560	96.92				
570	66.76				
580	32.29				
590	48.70				
600	86.14				
610	98.07				
620	97.37				
630	81.32				
640	23.53				
650	34.10				
660	58.66				
670	93.56				
680	94.73				
690	97.17				
700	99.41				
710	99.83				
720	98.79				
730	86.45				
740	54.61				
750	54.75				
760	79.24				
770	93.94				
780	93.16				
790	76.05				
800	50.49				
810	58.05				
820	83.05				
830	93.96				
840	98.35				
850	98.33				
860	90.03				
870	83.21				
880	79.20				
890	79.27				
900	79.31				
910	77.46				
920	75.41				
930	73.54				
940	72.07				
950	72.78				
960	72.82				
970	63.40				
980	60.15				
990	79.79				
1000	89.61				
1010	92.59				
1020	94.64				
1030	94.99				
1040	92.18				
1050	82.92				
1060	67.15				
1070	53.71				
1080	52.46				
1090	64.77				
1100	75.93				
1110	79.78				
1120	81.42				
1130	77.17				
1140	67.87				
1150	60.80				
1160	66.24				
1170	70.53				
1180	67.37				
1190	60.53				
1200	50.74				
1250	55.81				
1300	88.46				
1350	58.17				
1400	62.55				
1450	56.55				
1500	63.59				
1550	71.90				
1600	85.07				
1650	93.96				
1700	98.30				
1750	98.00				
1800	95.16				
1850	80.76				
1900	53.81				
1950	29.86				
2000	51.50				
2050	63.56				
2100	84.05				
2150	96.13				
2200	97.10				
2250	95.85				
2300	90.92				
2350	83.98				
2400	77.74				
2450	72.96				
2500	69.79				
2550	4050.00				
2600	4100.00				
2650	4150.00				
2700	4200.00				
2750	4250.00				
2800	4300.00				
2850	4350.00				
2900	4400.00				
2950	4450.00				
3000	4500.00				
3050	4550.00				
3100	4600.00				
3150	4650.00				
3200	4700.00				
3250	4750.00				
3300	4800.00				
3350	4850.00				
3400	4900.00				
3450	4950.00				
3500	5000.00				
3550	5050.00				
3600	5100.00				
3650	5150.00				
