Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C004C	Schott	UG1	UG1
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.24				
290	3.69				
300	15.51				
310	33.50				
320	51.89				
330	65.91				
340	75.08				
350	80.72				
360	83.27				
370	81.24				
380	70.60				
390	43.80				
400	13.76				
410	1.65				
420	0.09				
430	0.00				
440	0.00				
450	0.00				
460	0.00				
470	0.00				
480	0.00				
490	0.00				
500	0.00				
510	0.00				
520	0.00				
530	0.00				
540	0.00				
550	0.00				
560	0.00				
570	0.00				
580	0.00				
590	0.00				
600	0.00				
610	0.00				
620	0.00				
630	0.00				
640	0.00				
650	0.00				
660	0.00				
670	0.00				
680	0.00				
690	0.25				
700	2.82				
710	13.95				
720	26.86				
730	36.82				
740	44.99				
750	47.98				
760	44.19				
770	37.36				
780	32.98				
790	30.68				
800	27.69				
810	24.16				
820	20.91				
830	18.12				
840	15.84				
850	14.02				
860	12.50				
870	11.23				
880	10.19				
890	9.31				
900	8.69				
910	8.07				
920	7.63				
930	7.27				
940	6.92				
950	6.63				
960	6.45				
970	6.31				
980	6.29				
990	6.11				
1000	6.05				
1010	5.93				
1020	5.71				
1030	5.55				
1040	5.30				
1050	5.14				
1060	4.88				
1070	4.67				
1080	4.46				
1090	4.17				
1100	3.92				
1110	3.72				
1120	3.53				
1130	3.29				
1140	3.05				
1150	2.89				
1160	2.68				
1170	2.60				
1180	2.41				
1190	2.34				
1200	2.24				
1250	2.02				
1300	2.13				
1350	2.53				
1400	2.55				
1450	2.38				
1500	2.34				
1550	2.54				
1600	2.75				
1650	2.66				
1700	2.11				
1750	1.79				
1800	1.68				
1850	1.79				
1900	2.15				
1950	2.51				
2000	3.01				
2050	3.54				
2100	4.16				
2150	5.01				
2200	5.98				
2250	7.16				
2300	8.32				
2350	9.59				
2400	10.83				
2450	11.99				
2500	12.62				
2550	15.24				
2600	16.15				
2650	17.00				
2700	17.62				
2750	14.98				
2800	12.00				
2850	12.19				
2900	12.79				
2950	13.54				
3000	14.00				
3050	14.39				
3100	14.76				
3150	15.08				
3200	15.46				
3250	15.80				
3300	16.21				
3350	16.68				
3400	17.18				
3450	17.69				
3500	18.25				
3550	18.91				
3600	19.95				
3650	20.70				
3700	21.46				
3750	22.30				
3800	24.00				
3850	25.92				
3900	27.74				
3950	28.59				
4000	28.87				
4050	29.06				
4100	29.25				
4150	29.34				
4200	29.34				
4250	28.93				
4300	27.55				
4350	25.23				
4400	22.00				
4450	18.60				
4500	15.00				
4550	11.31				
4600	8.00				
4650	5.51				
4700	4.00				
4750	2.84				
4800	2.00				
4850	1.38				
4900	1.06				
4950	0.84				
5000	0.63				
5050	0.41				
5100	0.23				
5150	0.12				
