Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
200	0.00	#4C0000	Schott	VG9	VG9
210	0.00				
220	0.00				
230	0.00				
240	0.00				
250	0.00				
260	0.00				
270	0.00				
280	0.00				
290	0.00				
300	0.00				
310	0.00				
320	0.00				
330	0.00				
340	0.00				
350	0.00				
360	0.00				
370	0.00				
380	0.00				
390	0.00				
400	0.00				
410	0.08				
420	0.57				
430	1.96				
440	5.34				
450	11.70				
460	21.60				
470	32.50				
480	42.90				
490	53.00				
500	61.30				
510	66.90				
520	69.80				
530	69.80				
540	66.90				
550	61.80				
560	55.20				
570	47.70				
580	40.10				
590	33.00				
600	26.50				
610	20.90				
620	16.40				
630	13.00				
640	10.70				
650	8.90				
660	7.50				
670	6.56				
680	5.81				
690	5.30				
700	4.98				
710	4.82				
720	4.70				
730	4.60				
740	4.53				
750	4.48				
760	4.42				
770	4.39				
780	4.35				
790	4.33				
800	4.32				
810	4.33				
820	4.38				
830	4.46				
840	4.55				
850	4.67				
860	4.78				
870	4.89				
880	5.04				
890	5.30				
900	5.61				
910	5.93				
920	6.25				
930	6.60				
940	6.97				
950	7.39				
960	7.90				
970	8.43				
980	8.97				
990	9.54				
1000	10.20				
1010	10.91				
1020	11.62				
1030	12.30				
1040	12.95				
1050	13.60				
1060	14.30				
1070	15.10				
1080	15.90				
1090	16.70				
1100	17.45				
1110	18.24				
1120	19.07				
1130	20.13				
1140	20.79				
1150	21.84				
1160	22.73				
1170	23.72				
1180	24.60				
1190	25.62				
1200	26.44				
1250	30.44				
1300	35.00				
1350	40.00				
1400	44.00				
1450	49.01				
1500	53.00				
1550	57.02				
1600	60.00				
1650	63.71				
1700	67.00				
1750	69.55				
1800	72.00				
1850	74.07				
1900	76.00				
1950	77.75				
2000	79.00				
2050	80.86				
2100	82.00				
2150	83.12				
2200	84.00				
2250	84.72				
2300	85.48				
2350	86.14				
2400	87.00				
2450	87.36				
2500	88.00				
2550	88.00				
2600	88.40				
2650	88.30				
2700	87.00				
2750	68.70				
2800	61.54				
2850	60.50				
2900	60.00				
2950	58.90				
3000	58.00				
3050	56.26				
3100	54.00				
3150	51.83				
3200	50.00				
3250	47.87				
3300	46.00				
3350	43.92				
3400	42.13				
3450	41.18				
3500	40.34				
3550	40.00				
3600	40.00				
3650	40.24				
3700	41.00				
3750	41.75				
3800	43.00				
3850	44.20				
3900	45.00				
3950	45.42				
4000	45.24				
4050	44.29				
4100	42.00				
4150	40.15				
4200	38.00				
4250	35.43				
4300	32.23				
4350	28.84				
4400	24.69				
4450	20.54				
4500	16.00				
4550	11.40				
4600	7.45				
4650	5.25				
4700	3.25				
4750	2.20				
4800	1.61				
4850	1.23				
4900	1.00				
4950	0.75				
5000	0.50				
5050	0.28				
5100	0.15				
5150	0.07				
