Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	1.074	#df8534	Tangsinuo	CB550-2 GG550	0
210	1.074				
215	1.074				
220	1.074				
225	1.074				
230	1.074				
235	1.074				
240	1.074				
245	1.074				
250	1.074				
255	1.074				
260	1.074				
265	1.074				
270	1.074				
275	1.074				
280	1.074				
285	1.074				
290	1.074				
295	1.074				
300	1.074				
305	1.074				
310	1.074				
315	1.074				
320	1.074				
325	1.074				
330	1.074				
335	1.074				
340	1.074				
345	1.074				
350	1.074				
355	1.074				
360	1.074				
365	1.115				
370	1.289				
375	1.375				
380	1.378				
385	1.324				
390	1.265				
395	1.261				
400	1.261				
405	1.225				
410	1.096				
415	1.074				
420	1.074				
425	1.074				
430	1.074				
435	1.074				
440	1.074				
445	1.074				
450	1.074				
455	1.074				
460	1.074				
465	1.074				
470	1.074				
475	1.074				
480	1.074				
485	1.074				
490	1.074				
495	1.074				
500	1.074				
505	1.074				
510	1.074				
515	1.264				
520	2.136				
525	6.345				
530	21.808				
535	44.69				
540	63.014				
545	75.064				
550	81.731				
555	85.439				
560	87.708				
565	88.934				
570	89.68				
575	90.16				
580	90.438				
585	90.591				
590	90.691				
595	90.787				
600	90.865				
605	90.878				
610	90.949				
615	90.981				
620	90.981				
625	90.981				
630	90.981				
635	91.002				
640	91.016				
645	90.982				
650	91.07				
655	91.105				
660	91.105				
665	91.105				
670	91.105				
675	91.105				
680	91.105				
685	91.105				
690	91.105				
695	91.105				
700	91.105				
705	91.105				
710	91.105				
715	91.105				
720	91.111				
725	91.129				
730	91.154				
735	91.131				
740	91.105				
745	91.103				
750	91.078				
755	91.071				
760	91.082				
765	91.105				
770	91.105				
775	91.098				
780	91.097				
785	91.105				
790	91.105				
795	91.162				
800	91.211				
805	91.229				
810	91.229				
815	91.229				
820	91.229				
825	91.215				
830	91.13				
835	91.138				
840	91.133				
845	91.105				
850	91.105				
855	91.098				
860	91.066				
865	91.019				
870	90.985				
875	90.981				
880	90.981				
885	90.981				
890	90.981				
895	90.981				
900	90.981				
905	90.981				
910	90.981				
915	90.973				
920	90.975				
925	90.981				
930	90.981				
935	90.973				
940	90.948				
945	90.989				
950	91.202				
955	91.29				
960	91.253				
965	91.139				
970	91.003				
975	90.986				
980	91.004				
985	91.026				
990	91.027				
995	91.061				
1000	91.113				
1005	91.179				
1010	91.252				
1015	91.269				
1020	91.323				
1025	91.398				
1030	91.484				
1035	91.577				
1040	91.658				
1045	91.724				
1050	91.779				
1055	91.873				
1060	91.934				
1065	91.895				
1070	91.753				
1075	91.702				
1080	91.584				
1085	91.495				
1090	91.513				
1095	91.844				
