Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	1.069	#f8f26c	Tangsinuo	JB470-2 GG475	0
210	1.073				
215	1.074				
220	1.074				
225	1.074				
230	1.074				
235	1.074				
240	1.074				
245	1.074				
250	1.074				
255	1.074				
260	1.074				
265	1.074				
270	1.074				
275	1.074				
280	1.074				
285	1.074				
290	1.074				
295	1.074				
300	1.074				
305	1.074				
310	1.074				
315	1.074				
320	1.074				
325	1.074				
330	1.074				
335	1.074				
340	1.074				
345	1.074				
350	1.074				
355	1.074				
360	1.074				
365	1.125				
370	1.342				
375	1.431				
380	1.429				
385	1.363				
390	1.278				
395	1.264				
400	1.261				
405	1.261				
410	1.261				
415	1.227				
420	1.163				
425	1.079				
430	1.078				
435	1.077				
440	1.074				
445	1.074				
450	1.074				
455	1.159				
460	1.786				
465	6.801				
470	29.472				
475	56.478				
480	74.532				
485	82.832				
490	86.792				
495	88.667				
500	89.652				
505	90.158				
510	90.512				
515	90.767				
520	90.92				
525	91.028				
530	91.115				
535	91.183				
540	91.226				
545	91.276				
550	91.322				
555	91.353				
560	91.353				
565	91.353				
570	91.364				
575	91.371				
580	91.354				
585	91.353				
590	91.408				
595	91.469				
600	91.477				
605	91.477				
610	91.46				
615	91.452				
620	91.477				
625	91.451				
630	91.414				
635	91.39				
640	91.401				
645	91.46				
650	91.477				
655	91.477				
660	91.477				
665	91.477				
670	91.477				
675	91.474				
680	91.465				
685	91.447				
690	91.392				
695	91.388				
700	91.452				
705	91.371				
710	91.353				
715	91.361				
720	91.38				
725	91.414				
730	91.38				
735	91.353				
740	91.353				
745	91.353				
750	91.283				
755	91.236				
760	91.229				
765	91.229				
770	91.244				
775	91.243				
780	91.229				
785	91.229				
790	91.229				
795	91.227				
800	91.224				
805	91.229				
810	91.229				
815	91.224				
820	91.207				
825	91.165				
830	91.122				
835	91.105				
840	91.105				
845	91.105				
850	91.081				
855	91.071				
860	91.061				
865	91.027				
870	90.993				
875	90.997				
880	91.007				
885	90.981				
890	90.981				
895	90.981				
900	90.981				
905	90.981				
910	90.981				
915	90.981				
920	90.981				
925	90.981				
930	90.981				
935	90.957				
940	90.913				
945	90.865				
950	91.001				
955	91.062				
960	91.04				
965	90.947				
970	90.947				
975	90.921				
980	90.887				
985	90.857				
990	90.857				
995	90.857				
1000	90.857				
1005	90.857				
1010	90.857				
1015	90.857				
1020	90.857				
1025	90.857				
1030	90.857				
1035	90.8				
1040	90.754				
1045	90.733				
1050	90.733				
1055	90.725				
1060	90.712				
1065	90.695				
1070	90.678				
1075	90.624				
1080	90.569				
1085	90.52				
1090	90.478				
1095	90.411				
