Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	0.08	#bcf021	Tangsinuo	LB17	0
210	0.08				
215	0.08				
220	0.08				
225	0.08				
230	0.08				
235	0.08				
240	0.08				
245	0.08				
250	0.08				
255	0.08				
260	0.08				
265	0.08				
270	0.08				
275	0.08				
280	0.08				
285	0.08				
290	0.08				
295	0.08				
300	0.08				
305	0.077				
310	0.074				
315	0.071				
320	0.069				
325	0.066				
330	0.063				
335	0.06				
340	0.058				
345	0.055				
350	0.052				
355	0.049				
360	0.047				
365	0.044				
370	0.041				
375	0.038				
380	0.036				
385	0.033				
390	0.03				
395	0.028				
400	0.025				
405	0.022				
410	0.019				
415	0.017				
420	0.014				
425	0.011				
430	0.008				
435	0.006				
440	0.003				
445	0.0				
450	2.115				
455	5.553				
460	10.559				
465	15.001				
470	21.536				
475	26.928				
480	33.468				
485	39.23				
490	44.485				
495	49.547				
500	54.428				
505	58.929				
510	62.475				
515	65.79				
520	68.335				
525	69.951				
530	71.294				
535	71.628				
540	71.36				
545	71.091				
550	70.203				
555	68.022				
560	65.578				
565	62.967				
570	60.282				
575	57.57				
580	54.858				
585	52.136				
590	49.403				
595	46.775				
600	44.08				
605	41.451				
610	38.937				
615	36.393				
620	33.893				
625	31.466				
630	29.11				
635	27.164				
640	25.302				
645	23.824				
650	22.347				
655	21.256				
660	20.234				
665	19.213				
670	18.471				
675	17.842				
680	17.214				
685	16.61				
690	16.292				
695	15.974				
700	15.656				
705	15.427				
710	15.309				
715	15.19				
720	15.072				
725	15.086				
730	15.13				
735	15.174				
740	15.238				
745	15.39				
750	15.541				
755	15.693				
760	15.856				
765	16.03				
770	16.204				
775	16.378				
780	16.579				
785	16.782				
790	16.985				
795	17.184				
800	17.373				
805	17.561				
810	17.75				
815	17.948				
820	18.151				
825	18.355				
830	18.558				
835	18.761				
840	18.965				
845	19.168				
850	19.374				
855	19.585				
860	19.796				
865	20.006				
870	20.223				
875	20.441				
880	20.659				
885	20.877				
890	21.095				
895	21.313				
900	21.531				
905	21.748				
910	21.962				
915	22.176				
920	22.391				
925	22.63				
930	22.874				
935	23.118				
940	23.377				
945	23.687				
950	23.998				
955	24.309				
960	24.68				
965	25.094				
970	25.508				
975	25.922				
980	26.597				
985	27.284				
990	27.972				
995	28.861				
1000	30.178				
1005	31.496				
