Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	0.082	#bc6df5	Tangsinuo	PNB586-2mm Didymium	0
210	0.082				
215	0.082				
220	0.082				
225	0.082				
230	0.082				
235	0.082				
240	0.237				
245	0.901				
250	2.399				
255	5.195				
260	9.055				
265	15.294				
270	23.499				
275	32.61				
280	41.818				
285	51.44				
290	57.373				
295	63.509				
300	67.112				
305	68.467				
310	75.093				
315	77.399				
320	77.926				
325	71.836				
330	64.912				
335	69.198				
340	74.617				
345	69.655				
350	24.657				
355	20.144				
360	23.976				
365	68.565				
370	87.958				
375	89.437				
380	89.24				
385	89.034				
390	89.835				
395	90.06				
400	90.182				
405	90.201				
410	90.131				
415	89.672				
420	88.639				
425	87.762				
430	74.363				
435	80.607				
440	88.17				
445	89.303				
450	87.307				
455	83.031				
460	79.192				
465	78.539				
470	74.647				
475	71.067				
480	75.494				
485	83.774				
490	86.763				
495	84.496				
500	78.154				
505	69.619				
510	53.466				
515	47.364				
520	50.152				
525	32.991				
530	28.461				
535	45.317				
540	69.614				
545	82.848				
550	85.864				
555	85.839				
560	83.816				
565	69.725				
570	12.376				
575	2.073				
580	2.134				
585	0.86				
590	2.303				
595	9.791				
600	28.092				
605	48.317				
610	65.286				
615	82.059				
620	88.466				
625	86.895				
630	86.915				
635	88.566				
640	89.695				
645	90.459				
650	90.816				
655	90.972				
660	90.744				
665	89.459				
670	86.733				
675	83.967				
680	78.94				
685	74.728				
690	79.547				
695	85.432				
700	88.739				
705	89.995				
710	90.36				
715	89.843				
720	88.263				
725	83.453				
730	64.517				
735	24.471				
740	10.884				
745	11.735				
750	11.975				
755	21.285				
760	40.686				
765	58.374				
770	70.884				
775	75.853				
780	71.897				
785	60.409				
790	38.022				
795	20.656				
800	12.462				
805	6.369				
810	6.324				
815	20.627				
820	40.358				
825	57.41				
830	69.625				
835	79.363				
840	86.109				
845	88.165				
850	87.658				
855	83.565				
860	72.557				
865	61.574				
870	56.241				
875	49.123				
880	38.361				
885	46.14				
890	58.866				
895	67.442				
900	74.417				
905	79.608				
910	83.938				
915	86.492				
920	88.093				
925	89.473				
930	90.656				
935	91.378				
940	91.672				
945	91.74				
950	92.635				
955	93.044				
960	92.972				
965	92.461				
970	92.179				
975	92.098				
980	92.208				
985	92.298				
990	92.403				
995	92.429				
1000	92.6				
1005	92.74				
1010	92.828				
1015	92.969				
1020	93.066				
1025	93.173				
1030	93.324				
1035	93.489				
1040	93.584				
1045	93.669				
1050	93.667				
1055	93.621				
1060	93.792				
1065	93.612				
1070	93.034				
1075	92.769				
1080	92.384				
1085	92.0				
1090	91.498				
1095	91.246				
