Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	0.077	#3fd0e0	Tangsinuo	QB21-2mm AR	0
210	0.081				
215	0.082				
220	0.082				
225	0.082				
230	0.082				
235	0.082				
240	0.082				
245	0.082				
250	0.082				
255	0.082				
260	0.082				
265	0.082				
270	0.082				
275	0.082				
280	0.082				
285	0.082				
290	0.082				
295	0.082				
300	0.178				
305	0.61				
310	2.323				
315	6.699				
320	14.922				
325	24.488				
330	35.318				
335	45.428				
340	53.634				
345	61.399				
350	67.221				
355	72.003				
360	76.034				
365	79.42				
370	82.057				
375	84.3				
380	86.598				
385	88.624				
390	90.335				
395	91.825				
400	93.055				
405	94.088				
410	94.884				
415	95.557				
420	96.121				
425	96.572				
430	97.055				
435	97.399				
440	97.62				
445	97.756				
450	97.827				
455	97.889				
460	97.93				
465	97.93				
470	97.922				
475	97.896				
480	97.857				
485	97.805				
490	97.737				
495	97.69				
500	97.615				
505	97.475				
510	97.347				
515	97.147				
520	96.878				
525	96.541				
530	96.116				
535	95.553				
540	94.851				
545	93.99				
550	92.818				
555	91.5				
560	90.015				
565	88.317				
570	86.216				
575	83.91				
580	81.427				
585	78.524				
590	75.47				
595	72.133				
600	68.556				
605	64.875				
610	60.864				
615	56.897				
620	52.797				
625	48.573				
630	44.388				
635	40.276				
640	36.465				
645	32.569				
650	29.029				
655	25.636				
660	22.4				
665	19.467				
670	16.677				
675	14.277				
680	12.041				
685	10.149				
690	8.432				
695	6.973				
700	5.716				
705	4.657				
710	3.812				
715	3.09				
720	2.478				
725	1.985				
730	1.57				
735	1.238				
740	0.976				
745	0.763				
750	0.599				
755	0.464				
760	0.355				
765	0.27				
770	0.186				
775	0.12				
780	0.082				
785	0.082				
790	0.082				
795	0.082				
800	0.082				
805	0.082				
810	0.082				
815	0.082				
820	0.082				
825	0.082				
830	0.082				
835	0.082				
840	0.082				
845	0.082				
850	0.082				
855	0.082				
860	0.082				
865	0.082				
870	0.082				
875	0.082				
880	0.082				
885	0.082				
890	0.082				
895	0.082				
900	0.082				
905	0.082				
910	0.082				
915	0.082				
920	0.082				
925	0.082				
930	0.082				
935	0.082				
940	0.082				
945	0.082				
950	0.082				
955	0.082				
960	0.082				
965	0.082				
970	0.082				
975	0.082				
980	0.082				
985	0.082				
990	0.082				
995	0.082				
1000	0.082				
1005	0.082				
1010	0.082				
1015	0.082				
1020	0.082				
1025	0.082				
1030	0.082				
1035	0.082				
1040	0.082				
1045	0.082				
1050	0.082				
1055	0.082				
1060	0.082				
1065	0.082				
1070	0.082				
1075	0.082				
1080	0.082				
1085	0.082				
1090	0.082				
1095	0.077				
1100	0.026				
