Wavelength	Transmittance	hex_color	Manufacturer	Name	Filter Number
205	0.325	#000000	Tangsinuo	ZWB1-2mm UG11	0
210	0.325				
215	0.325				
220	0.325				
225	0.325				
230	0.325				
235	0.325				
240	0.524				
245	1.08				
250	2.89				
255	7.776				
260	16.489				
265	26.922				
270	37.687				
275	47.819				
280	56.994				
285	64.268				
290	70.215				
295	74.783				
300	78.33				
305	80.565				
310	82.124				
315	83.08				
320	83.794				
325	84.195				
330	84.238				
335	84.121				
340	83.609				
345	82.547				
350	81.356				
355	79.305				
360	75.982				
365	70.358				
370	59.957				
375	45.708				
380	28.025				
385	11.856				
390	3.015				
395	0.946				
400	0.164				
405	0.174				
410	0.184				
415	0.194				
420	0.204				
425	0.215				
430	0.225				
435	0.235				
440	0.245				
445	0.255				
450	0.265				
455	0.275				
460	0.285				
465	0.295				
470	0.305				
475	0.315				
480	0.325				
485	0.325				
490	0.325				
495	0.325				
500	0.325				
505	0.325				
510	0.325				
515	0.325				
520	0.325				
525	0.325				
530	0.325				
535	0.325				
540	0.325				
545	0.325				
550	0.325				
555	0.325				
560	0.325				
565	0.325				
570	0.325				
575	0.325				
580	0.325				
585	0.325				
590	0.325				
595	0.325				
600	0.325				
605	0.325				
610	0.325				
615	0.325				
620	0.325				
625	0.325				
630	0.325				
635	0.316				
640	0.289				
645	0.262				
650	0.235				
655	0.209				
660	0.182				
665	0.376				
670	1.12				
675	2.117				
680	3.825				
685	6.094				
690	8.678				
695	10.762				
700	12.374				
705	13.582				
710	14.249				
715	14.568				
720	13.695				
725	12.162				
730	10.302				
735	8.485				
740	6.815				
745	5.397				
750	4.206				
755	3.295				
760	2.514				
765	1.94				
770	1.473				
775	1.091				
780	0.836				
785	0.649				
790	0.542				
795	0.436				
800	0.329				
805	0.325				
810	0.325				
815	0.325				
820	0.325				
825	0.325				
830	0.325				
835	0.325				
840	0.325				
845	0.325				
850	0.325				
855	0.325				
860	0.325				
865	0.325				
870	0.325				
875	0.325				
880	0.325				
885	0.325				
890	0.325				
895	0.325				
900	0.325				
905	0.325				
910	0.325				
915	0.325				
920	0.325				
925	0.325				
930	0.325				
935	0.325				
940	0.325				
945	0.325				
950	0.325				
955	0.325				
960	0.325				
965	0.325				
970	0.325				
975	0.325				
980	0.325				
985	0.362				
990	0.412				
995	0.463				
1000	0.513				
1005	0.564				
1010	0.614				
1015	0.665				
1020	0.715				
1025	0.779				
1030	0.855				
1035	0.856				
1040	0.879				
1045	0.961				
1050	1.006				
1055	1.028				
1060	1.123				
1065	1.201				
1070	1.24				
1075	1.272				
1080	1.299				
1085	1.27				
1090	1.256				
1095	1.265				
