# Name	Leaf 4
# IsDefault	Default 4
Wavelength	Reflectance	
400	0.104
401	0.104	
402	0.102	
403	0.1	
404	0.097	
405	0.094	
406	0.092	
407	0.091	
408	0.09	
409	0.089	
410	0.089	
411	0.089	
412	0.09	
413	0.09	
414	0.09	
415	0.091	
416	0.091	
417	0.092	
418	0.092	
419	0.092	
420	0.092	
421	0.092	
422	0.092	
423	0.092	
424	0.092	
425	0.092	
426	0.091	
427	0.091	
428	0.091	
429	0.091	
430	0.091	
431	0.092	
432	0.092	
433	0.092	
434	0.093	
435	0.093	
436	0.094	
437	0.094	
438	0.094	
439	0.095	
440	0.095	
441	0.095	
442	0.095	
443	0.095	
444	0.095	
445	0.095	
446	0.095	
447	0.095	
448	0.095	
449	0.095	
450	0.095	
451	0.096	
452	0.096	
453	0.096	
454	0.096	
455	0.097	
456	0.097	
457	0.097	
458	0.098	
459	0.098	
460	0.098	
461	0.098	
462	0.098	
463	0.098	
464	0.098	
465	0.098	
466	0.098	
467	0.098	
468	0.098	
469	0.098	
470	0.098	
471	0.097	
472	0.097	
473	0.097	
474	0.097	
475	0.097	
476	0.097	
477	0.097	
478	0.098	
479	0.098	
480	0.098	
481	0.098	
482	0.098	
483	0.098	
484	0.098	
485	0.098	
486	0.098	
487	0.098	
488	0.098	
489	0.098	
490	0.099	
491	0.099	
492	0.099	
493	0.1	
494	0.1	
495	0.101	
496	0.101	
497	0.102	
498	0.102	
499	0.103	
500	0.104	
501	0.105	
502	0.106	
503	0.107	
504	0.109	
505	0.111	
506	0.112	
507	0.114	
508	0.117	
509	0.119	
510	0.122	
511	0.125	
512	0.128	
513	0.132	
514	0.136	
515	0.14	
516	0.144	
517	0.149	
518	0.154	
519	0.159	
520	0.165	
521	0.171	
522	0.176	
523	0.182	
524	0.187	
525	0.193	
526	0.198	
527	0.204	
528	0.209	
529	0.213	
530	0.218	
531	0.222	
532	0.226	
533	0.229	
534	0.233	
535	0.235	
536	0.238	
537	0.24	
538	0.242	
539	0.244	
540	0.246	
541	0.247	
542	0.249	
543	0.25	
544	0.251	
545	0.252	
546	0.254	
547	0.255	
548	0.256	
549	0.257	
550	0.258	
551	0.259	
552	0.259	
553	0.259	
554	0.259	
555	0.259	
556	0.258	
557	0.256	
558	0.255	
559	0.253	
560	0.251	
561	0.249	
562	0.246	
563	0.244	
564	0.241	
565	0.238	
566	0.235	
567	0.232	
568	0.228	
569	0.224	
570	0.221	
571	0.217	
572	0.213	
573	0.209	
574	0.206	
575	0.203	
576	0.2	
577	0.197	
578	0.194	
579	0.191	
580	0.189	
581	0.187	
582	0.185	
583	0.183	
584	0.181	
585	0.179	
586	0.177	
587	0.176	
588	0.175	
589	0.173	
590	0.172	
591	0.171	
592	0.17	
593	0.169	
594	0.169	
595	0.168	
596	0.167	
597	0.167	
598	0.166	
599	0.166	
600	0.165	
601	0.164	
602	0.163	
603	0.162	
604	0.161	
605	0.16	
606	0.159	
607	0.158	
608	0.156	
609	0.154	
610	0.153	
611	0.151	
612	0.149	
613	0.148	
614	0.146	
615	0.145	
616	0.143	
617	0.142	
618	0.14	
619	0.139	
620	0.138	
621	0.137	
622	0.136	
623	0.135	
624	0.135	
625	0.134	
626	0.134	
627	0.134	
628	0.133	
629	0.133	
630	0.133	
631	0.133	
632	0.132	
633	0.132	
634	0.132	
635	0.131	
636	0.131	
637	0.13	
638	0.129	
639	0.128	
640	0.127	
641	0.125	
642	0.124	
643	0.123	
644	0.121	
645	0.12	
646	0.118	
647	0.117	
648	0.115	
649	0.114	
650	0.113	
651	0.112	
652	0.111	
653	0.11	
654	0.109	
655	0.108	
656	0.107	
657	0.106	
658	0.105	
659	0.104	
660	0.103	
661	0.102	
662	0.101	
663	0.099	
664	0.098	
665	0.098	
666	0.097	
667	0.096	
668	0.096	
669	0.096	
670	0.095	
671	0.096	
672	0.096	
673	0.096	
674	0.096	
675	0.097	
676	0.098	
677	0.099	
678	0.1	
679	0.101	
680	0.102	
681	0.103	
682	0.105	
683	0.106	
684	0.108	
685	0.11	
686	0.112	
687	0.114	
688	0.117	
689	0.121	
690	0.126	
691	0.132	
692	0.138	
693	0.147	
694	0.156	
695	0.167	
696	0.179	
697	0.193	
698	0.208	
699	0.224	
700	0.241	
701	0.259	
702	0.278	
703	0.297	
704	0.316	
705	0.336	
706	0.356	
707	0.376	
708	0.396	
709	0.416	
710	0.437	
711	0.457	
712	0.478	
713	0.499	
714	0.519	
715	0.54	
716	0.56	
717	0.581	
718	0.601	
719	0.621	
720	0.641	
721	0.661	
722	0.68	
723	0.699	
724	0.717	
725	0.735	
726	0.752	
727	0.768	
728	0.785	
729	0.8	
730	0.815	
731	0.828	
732	0.842	
733	0.855	
734	0.866	
735	0.877	
736	0.888	
737	0.898	
738	0.907	
739	0.916	
740	0.924	
741	0.931	
742	0.938	
743	0.944	
744	0.95	
745	0.955	
746	0.96	
747	0.965	
748	0.968	
749	0.972	
750	0.975	
751	0.978	
752	0.981	
753	0.983	
754	0.985	
755	0.987	
756	0.989	
757	0.99	
758	0.991	
759	0.993	
760	0.994	
761	0.995	
762	0.995	
763	0.996	
764	0.996	
765	0.997	
766	0.997	
767	0.998	
768	0.998	
769	0.998	
770	0.998	
771	0.998	
772	0.999	
773	0.999	
774	0.999	
775	0.999	
776	0.999	
777	0.999	
778	0.999	
779	0.999	
780	0.999	
781	0.999	
782	0.999	
783	0.999	
784	0.999	
785	0.999	
786	0.999	
787	0.999	
788	1.0	
789	1.0	
790	1.0	
791	1.0	
792	1.0	
793	1.0	
794	1.0	
795	1.0	
796	1.0	
797	1.0	
798	1.0	
799	1.0	
800	1.0	
801	1.0	
802	1.0	
803	1.0	
804	1.0	
805	1.0	
806	1.0	
807	1.0	
808	1.0	
809	1.0	
810	1.0	
811	1.0	
812	1.0	
813	1.0	
814	1.0	
815	1.0	
816	1.0	
817	1.0	
818	1.0	
819	1.0	
820	1.0	
821	1.0	
822	1.0	
823	1.0	
824	1.0	
825	1.0	
826	1.0	
827	1.0	
828	0.999	
829	0.999	
830	0.999	
831	0.999	
832	0.999	
833	0.999	
834	0.999	
835	0.999	
836	0.999	
837	0.999	
838	0.999	
839	0.999	
840	0.999	
841	0.999	
842	0.999	
843	0.999	
844	0.999	
845	0.999	
846	0.999	
847	0.999	
848	0.999	
849	0.999	
850	0.999	
851	0.998	
852	0.998	
853	0.998	
854	0.998	
855	0.998	
856	0.998	
857	0.998	
858	0.998	
859	0.998	
860	0.998	
861	0.998	
862	0.998	
863	0.998	
864	0.998	
865	0.998	
866	0.998	
867	0.998	
868	0.998	
869	0.998	
870	0.998	
871	0.997	
872	0.997	
873	0.997	
874	0.997	
875	0.997	
876	0.997	
877	0.997	
878	0.997	
879	0.997	
880	0.997	
881	0.997	
882	0.996	
883	0.996	
884	0.996	
885	0.996	
886	0.996	
887	0.996	
888	0.996	
889	0.996	
890	0.995	
891	0.995	
892	0.995	
893	0.995	
894	0.995	
895	0.995	
896	0.995	
897	0.994	
898	0.994	
899	0.994	
900	0.994	
901	0.994	
902	0.994	
903	0.993	
904	0.993	
905	0.993	
906	0.993	
907	0.993	
908	0.993	
909	0.992	
910	0.992	
911	0.992	
912	0.992	
913	0.992	
914	0.991	
915	0.991	
916	0.991	
917	0.991	
918	0.99	
919	0.99	
920	0.99	
921	0.99	
922	0.989	
923	0.989	
924	0.989	
925	0.988	
926	0.988	
927	0.987	
928	0.987	
929	0.986	
930	0.986	
931	0.985	
932	0.985	
933	0.984	
934	0.984	
935	0.983	
936	0.982	
937	0.982	
938	0.981	
939	0.98	
940	0.98	
941	0.979	
942	0.978	
943	0.977	
944	0.976	
945	0.975	
946	0.974	
947	0.973	
948	0.972	
949	0.971	
950	0.97	
951	0.968	
952	0.967	
953	0.965	
954	0.964	
955	0.962	
956	0.961	
957	0.96	
958	0.958	
959	0.957	
960	0.956	
961	0.955	
962	0.954	
963	0.954	
964	0.953	
965	0.952	
966	0.952	
967	0.952	
968	0.951	
969	0.951	
970	0.95	
971	0.95	
972	0.949	
973	0.949	
974	0.949	
975	0.949	
976	0.949	
977	0.947	
978	0.949	
979	0.948	
980	0.948	
981	0.948	
982	0.948	
983	0.948	
984	0.948	
985	0.947	
986	0.948	
987	0.948	
988	0.948	
989	0.948	
990	0.948	
991	0.947	
992	0.947	
993	0.947	
994	0.947	
995	0.948	
996	0.948	
997	0.948	
998	0.949	
999	0.949	
1000	0.95	
1001	0.95	
1002	0.95	
1003	0.951	
1004	0.951	
1005	0.952	
1006	0.952	
1007	0.953	
1008	0.953	
1009	0.953	
1010	0.954	
1011	0.954	
1012	0.955	
1013	0.956	
1014	0.956	
1015	0.957	
1016	0.957	
1017	0.958	
1018	0.959	
1019	0.959	
1020	0.96	
1021	0.96	
1022	0.961	
1023	0.961	
1024	0.962	
1025	0.962	
1026	0.962	
1027	0.963	
1028	0.963	
1029	0.964	
1030	0.964	
1031	0.964	
1032	0.965	
1033	0.965	
1034	0.966	
1035	0.966	
1036	0.966	
1037	0.967	
1038	0.967	
1039	0.967	
1040	0.968	
1041	0.968	
1042	0.968	
1043	0.968	
1044	0.969	
1045	0.969	
1046	0.969	
1047	0.969	
1048	0.969	
1049	0.97	
1050	0.97	
1051	0.97	
1052	0.97	
1053	0.97	
1054	0.97	
1055	0.971	
1056	0.971	
1057	0.971	
1058	0.971	
1059	0.971	
1060	0.971	
1061	0.971	
1062	0.971	
1063	0.971	
1064	0.971	
1065	0.971	
1066	0.971	
1067	0.971	
1068	0.971	
1069	0.971	
1070	0.971	
1071	0.971	
1072	0.971	
1073	0.971	
1074	0.971	
1075	0.971	
1076	0.971	
1077	0.971	
1078	0.971	
1079	0.971	
1080	0.97	
1081	0.97	
1082	0.97	
1083	0.97	
1084	0.97	
1085	0.97	
1086	0.969	
1087	0.969	
1088	0.969	
1089	0.969	
1090	0.968	
1091	0.968	
1092	0.968	
1093	0.967	
1094	0.967	
1095	0.967	
1096	0.967	
1097	0.967	
1098	0.966	
1099	0.966	
1100	0.965	
